participant,notch_accuracy,nonotch_accuracy,delta_accuracy,notch_recall,nonotch_recall,delta_recall
P10,0.639344262295082,0.5409836065573771,-0.09836065573770492,0.5333333333333333,0.43333333333333335,-0.09999999999999998
P11,0.5769230769230769,0.6307692307692307,0.05384615384615388,0.6615384615384615,0.7230769230769231,0.06153846153846154
P12,0.8409090909090909,0.8181818181818182,-0.022727272727272707,0.7272727272727273,0.6818181818181818,-0.045454545454545525
P13,0.5128205128205128,0.6025641025641025,0.08974358974358976,0.5641025641025641,0.6153846153846154,0.05128205128205132
P14,0.6923076923076923,0.625,-0.06730769230769229,0.6538461538461539,0.5769230769230769,-0.07692307692307698
P15,0.6122448979591837,0.6428571428571429,0.030612244897959218,0.5306122448979592,0.5918367346938775,0.061224489795918324
P17,0.6801801801801802,0.6891891891891891,0.009009009009008917,0.7657657657657657,0.7657657657657657,0.0
P18,0.6273291925465838,0.6211180124223602,-0.006211180124223614,0.6,0.625,0.025000000000000022
P20,0.6170212765957447,0.5886524822695035,-0.028368794326241176,0.6571428571428571,0.6428571428571429,-0.014285714285714235
P21,0.4880952380952381,0.5238095238095238,0.035714285714285754,0.4523809523809524,0.47619047619047616,0.02380952380952378
P22,0.6166666666666667,0.6666666666666666,0.04999999999999993,0.6666666666666666,0.7333333333333333,0.06666666666666665
P23,0.6606060606060606,0.6606060606060606,0.0,0.6829268292682927,0.7073170731707317,0.024390243902438935
P24,0.6440677966101694,0.6610169491525424,0.016949152542372947,0.6818181818181818,0.7386363636363636,0.05681818181818188
P25,0.5564516129032258,0.6209677419354839,0.06451612903225812,0.532258064516129,0.5483870967741935,0.016129032258064502
P26,0.5757575757575758,0.6363636363636364,0.06060606060606055,0.5151515151515151,0.5151515151515151,0.0
P27,0.6111111111111112,0.6296296296296297,0.01851851851851849,0.6296296296296297,0.6666666666666666,0.03703703703703698
P28,0.6900584795321637,0.7192982456140351,0.0292397660818714,0.7647058823529411,0.7529411764705882,-0.0117647058823529
P30,0.5531914893617021,0.4787234042553192,-0.07446808510638298,0.5957446808510638,0.5957446808510638,0.0
P31,0.6186440677966102,0.5677966101694916,-0.05084745762711862,0.576271186440678,0.5932203389830508,0.016949152542372836
P4,0.5555555555555556,0.5,-0.05555555555555558,0.5277777777777778,0.4444444444444444,-0.08333333333333337
P5,0.5357142857142857,0.5714285714285714,0.0357142857142857,0.42857142857142855,0.5,0.07142857142857145
P6,0.5617977528089888,0.550561797752809,-0.011235955056179803,0.6363636363636364,0.6136363636363636,-0.022727272727272707
P7,0.7671232876712328,0.7671232876712328,0.0,0.75,0.8055555555555556,0.05555555555555558
P8,0.49137931034482757,0.46551724137931033,-0.025862068965517238,0.5517241379310345,0.5172413793103449,-0.03448275862068961
P9,0.6354166666666666,0.625,-0.01041666666666663,0.6666666666666666,0.6041666666666666,-0.0625
