participant,total_samples,effective_fs_hz,total_duration_min,baseline_duration_s,n_keypresses_skips,n_stay_samples,n_skip_samples,skip_rate_per_min,mean_viewing_per_video_s
P10,441589,256.0,29.7,195.4,76,298329,57580,2.56,23.4
P11,455677,256.0,29.7,216.4,162,257358,117559,5.46,11.0
P12,441709,256.0,29.7,200.2,55,324911,41450,1.85,32.4
P13,441685,256.0,29.7,192.2,97,296075,73250,3.27,18.4
P14,413701,256.0,29.7,200.5,129,239245,96852,4.35,13.8
P15,455677,256.0,29.7,137.5,122,294506,88667,4.11,14.6
P17,421536,256.0,29.3,0.0,277,182073,183916,9.47,6.3
P18,452652,256.0,29.5,119.6,201,238864,142005,6.82,8.8
P20,443988,256.0,28.9,119.0,176,260300,121913,6.09,9.9
P21,429960,256.0,28.9,120.5,104,285553,76932,3.6,16.7
P22,389472,256.1,28.1,131.5,74,250654,54687,2.63,22.8
P23,433008,256.0,29.1,122.1,206,221245,147504,7.08,8.5
P24,441673,256.0,29.7,121.3,221,224083,157410,7.45,8.1
P25,452736,256.0,29.5,122.2,155,267526,112827,5.26,11.4
P26,441697,256.0,29.7,135.5,82,312753,60964,2.76,21.7
P27,401676,256.0,28.9,118.9,134,238468,98541,4.64,12.9
P28,419473,256.1,29.2,124.5,213,202442,137939,7.3,8.2
P30,441709,256.0,29.7,122.2,117,280026,86767,3.94,15.2
P31,400033,256.1,29.7,124.4,147,218121,105532,4.96,12.1
P4,427633,256.1,29.7,188.1,90,270850,65379,3.03,19.8
P5,413701,256.1,29.7,186.0,34,299859,25330,1.15,52.4
P6,441721,256.0,29.7,0.0,111,271153,82176,3.74,16.0
P7,428089,256.0,29.7,243.2,91,262324,64521,3.07,19.6
P8,441829,256.0,29.7,196.4,145,250165,105252,4.89,12.3
P9,427717,256.0,29.7,105.3,119,286552,88821,4.01,15.0
