rank,feature_name,electrode,band,stat_type,mean_importance,std_importance,median_importance,min_importance,max_importance
1,AF8_delta_max,AF8,delta,max,0.015109059956050896,0.019955088804943774,0.009390370381534164,0.004358632601061614,0.10554130986498068
2,AF8_delta_mean,AF8,delta,mean,0.014120627136454211,0.014835040157962488,0.010576451400446066,0.004174704552263126,0.07817567311774556
3,AF7_beta_min,AF7,beta,min,0.013975291798492358,0.004365387835826898,0.013442903511207383,0.005515009856287334,0.022651928532454683
4,AF8_delta_std,AF8,delta,std,0.013723774832354263,0.016442907584288853,0.009317272815184201,0.0016679025443761652,0.08678649686369627
5,AF7_delta_max,AF7,delta,max,0.013391049063719431,0.009858882405050645,0.010851348529478819,0.0017385667424600548,0.044398958022052334
6,AF7_delta_std,AF7,delta,std,0.012125747757892918,0.009206781597901139,0.008239721634780029,0.0023611111111111116,0.040347830359793536
7,TP10_beta_mean,TP10,beta,mean,0.011958304471320697,0.006131823970417188,0.009637036506828194,0.005889676605810432,0.03014504124865994
8,AF7_very_high_min,AF7,very_high,min,0.011647885873236966,0.005533490149022036,0.009604231754108126,0.0039555312823145285,0.026191978296310613
9,AF7_delta_min,AF7,delta,min,0.011540706298742988,0.01052898057826082,0.009738383229028662,0.00172868523881439,0.056577271047055025
10,TP9_theta_std,TP9,theta,std,0.01147665200488333,0.004899013715112754,0.009735445813213834,0.0057599850156092435,0.024982791756678138
11,AF7_high_gamma_mean,AF7,high_gamma,mean,0.011360428407916396,0.007582896788251519,0.007887003194756098,0.0037898586383507933,0.03194500331601066
12,AF8_very_high_min,AF8,very_high,min,0.011253764178833822,0.006419647219078335,0.009690025860360175,0.004598838273565265,0.03873695013111296
13,TP10_delta_max,TP10,delta,max,0.01080589222661913,0.005381899914375762,0.009661692761167368,0.004489266736049476,0.02220966314039109
14,AF8_alpha_min,AF8,alpha,min,0.010564613922616069,0.004813767238297123,0.009968935262412677,0.004085055440101002,0.020568382386722095
15,AF8_low_gamma_min,AF8,low_gamma,min,0.010494926792149742,0.005265564290364389,0.009510837669649011,0.002424440543651693,0.025868225217104652
16,TP9_low_gamma_min,TP9,low_gamma,min,0.010466182349053398,0.005659050093403602,0.008024953976125408,0.002253940606073832,0.023664198833782034
17,TP10_delta_std,TP10,delta,std,0.010442439941968012,0.005491168861286045,0.008330621496592883,0.0026628590075243774,0.021613117171583887
18,TP10_high_gamma_max,TP10,high_gamma,max,0.010400549908422364,0.007193281722992555,0.008613853036032675,0.0031047088444861965,0.04049717715543055
19,TP10_theta_min,TP10,theta,min,0.010367320031668969,0.005446448834817083,0.009866547013008802,0.0015592575887325808,0.024717785183426738
20,TP10_delta_min,TP10,delta,min,0.010266609973043754,0.005106517534677688,0.008730119445732125,0.0034214814580928116,0.021700748980869503
21,TP10_alpha_min,TP10,alpha,min,0.010241454696469367,0.004290900511493293,0.009973208378023735,0.0043128742815927365,0.018531912610226166
22,TP10_theta_max,TP10,theta,max,0.010160762286094078,0.008131702616284061,0.008465661493484782,0.002355944310607989,0.04504964107709543
23,AF8_theta_min,AF8,theta,min,0.010094226735275554,0.0054930747784585204,0.008171326158618614,0.0039121161279488245,0.025184194774272833
24,AF7_delta_mean,AF7,delta,mean,0.009939757340286131,0.005261443485902111,0.008397039897118996,0.00436609449596214,0.025078922627361822
25,TP9_theta_min,TP9,theta,min,0.009936983042146836,0.004679081299161923,0.009505327298739076,0.0019481933024956448,0.020345591174500965
26,AF7_high_gamma_min,AF7,high_gamma,min,0.009900952395916804,0.005265815623619444,0.008942652790173925,0.0024147589911169137,0.022015209850009286
27,AF8_alpha_max,AF8,alpha,max,0.009849036930711529,0.009990131992000363,0.006109306630545118,0.0012786043943717235,0.05064156581642831
28,AF8_high_gamma_mean,AF8,high_gamma,mean,0.009837000646940302,0.006915091495579064,0.007569323544294472,0.003043510961351232,0.029149561189464015
29,AF7_theta_mean,AF7,theta,mean,0.009793619292534082,0.00518623148997717,0.008128271725668013,0.0038271830504451104,0.022622413101517625
30,AF7_high_gamma_max,AF7,high_gamma,max,0.009765731581736836,0.005947182514545602,0.008602137542935095,0.00218744846485728,0.029455901853363508
31,TP10_very_high_min,TP10,very_high,min,0.009756053706080322,0.006114543397921933,0.008050999811982491,0.002816115052293131,0.026308102295065323
32,AF7_beta_max,AF7,beta,max,0.009646682772147306,0.006416030462460855,0.008095986675662357,0.00339217046262783,0.032134200670436756
33,TP9_delta_mean,TP9,delta,mean,0.009508614509340475,0.005356403390813897,0.008175796821604927,0.0024767445665796616,0.028127475912716245
34,AF7_high_gamma_std,AF7,high_gamma,std,0.009500109283878413,0.006156265666880325,0.007015346587224865,0.0009000675777636277,0.027162718740562912
35,AF8_delta_min,AF8,delta,min,0.009387606062106639,0.005535923439914907,0.008376823799467142,0.0015997382969716305,0.030984889298622923
36,TP9_very_high_min,TP9,very_high,min,0.00938723750361193,0.002842396823629534,0.009803592809788703,0.0021290380552900713,0.014928378386144586
37,AF7_theta_min,AF7,theta,min,0.009251728899421335,0.0049143885265000575,0.008622643754421318,0.0037070652578231893,0.02635874406675382
38,AF7_low_gamma_min,AF7,low_gamma,min,0.00923097138422734,0.005232250448088442,0.00791702944603309,0.003816626173575917,0.0263463374634059
39,AF8_high_gamma_min,AF8,high_gamma,min,0.00920777251151002,0.005354861025046498,0.008145342232757154,0.0010496742919419463,0.026442388121434436
40,TP10_high_gamma_min,TP10,high_gamma,min,0.009204920937033121,0.005110677118720449,0.008933113786186945,0.00041958500265397463,0.022056452060404075
41,TP9_high_gamma_std,TP9,high_gamma,std,0.009198777394524116,0.0064010595179233055,0.007790881669689195,0.0023941922963060846,0.03634946212075952
42,AF7_theta_std,AF7,theta,std,0.009198199363249749,0.004589692546400415,0.008587185565740351,0.0036577290815746895,0.025701599097057302
43,AF7_low_gamma_max,AF7,low_gamma,max,0.009119686041686188,0.004820128686745869,0.008112277695313162,0.003110114757076282,0.028557869741455043
44,AF7_theta_max,AF7,theta,max,0.009077217368975765,0.00511979754306977,0.007681878125823806,0.002440726872961505,0.02609264834229135
45,TP9_delta_max,TP9,delta,max,0.009058867088869658,0.004702653090362813,0.008892181806489341,0.0030179457904956964,0.02628524307576274
46,TP10_delta_mean,TP10,delta,mean,0.008930308516413105,0.00507807367039315,0.006845548919909699,0.0023007745280291974,0.022714636878212263
47,TP9_low_gamma_max,TP9,low_gamma,max,0.008820933219657757,0.003928764380371669,0.00815005654102188,0.003693912243500369,0.02062156426182052
48,AF8_low_gamma_mean,AF8,low_gamma,mean,0.008781761686595864,0.003466403552300854,0.008327651954175529,0.003947357483289666,0.017039347709931856
49,TP9_delta_std,TP9,delta,std,0.008781483248155208,0.005844881349705641,0.006717751971822614,0.0018639009911664882,0.03131880578980395
50,AF8_beta_min,AF8,beta,min,0.008767394957856464,0.004076823049498972,0.008481658251724653,0.00011963952765692989,0.017204031375942355
51,TP9_high_gamma_max,TP9,high_gamma,max,0.008734211561766625,0.006048289969881272,0.0069225150955553125,0.0027772341617635144,0.03064987519335646
52,AF8_high_gamma_max,AF8,high_gamma,max,0.008695801532853339,0.0050434959720582935,0.007924002564488799,0.0014947926722872313,0.026275162056621126
53,TP9_alpha_max,TP9,alpha,max,0.008685578937783966,0.004114573253289081,0.008185059833010764,0.00022381311228334623,0.01998597329277288
54,AF8_alpha_mean,AF8,alpha,mean,0.008671793813908863,0.002272520020882245,0.008766149612873125,0.0041861842805891855,0.012668010439355872
55,TP10_theta_mean,TP10,theta,mean,0.008647096744154408,0.006370821390709855,0.006323590184920853,0.002753708484044106,0.03283046302369976
56,TP9_beta_min,TP9,beta,min,0.008627429703377652,0.005196350287901425,0.007636090709102993,0.002443244868091847,0.02657741113416824
57,TP10_low_gamma_std,TP10,low_gamma,std,0.00862636832950611,0.0031214645404367813,0.008052666703137965,0.003974963516669619,0.016276253194393724
58,AF7_alpha_min,AF7,alpha,min,0.008583037452717318,0.0056819186389093146,0.007262682883106884,0.001095568133490585,0.027614733835395665
59,AF8_theta_max,AF8,theta,max,0.008558937819313373,0.005350683816699752,0.006770812602066364,0.0025433599902883936,0.026077823407722526
60,TP10_theta_std,TP10,theta,std,0.00854685835053827,0.006472439801886772,0.006674195433651486,0.0011346632692185387,0.030111272600044578
61,AF7_very_high_max,AF7,very_high,max,0.008389623052771456,0.0046279261470029325,0.008232072178779356,8.613189490168812e-05,0.019960366243846756
62,TP9_low_gamma_std,TP9,low_gamma,std,0.008385142058088553,0.00455725113406437,0.00651551080549606,0.002646390299212391,0.020719207054235907
63,AF7_low_gamma_std,AF7,low_gamma,std,0.0083564452424159,0.0040155877047561555,0.007412704749066225,0.0035087392353438675,0.02147147549157397
64,AF8_high_gamma_std,AF8,high_gamma,std,0.008338222660760577,0.004348225540180813,0.007494716683881797,0.002323759883047725,0.025538313912394982
