participant,TP9_delta_mean,TP9_delta_std,TP9_delta_min,TP9_delta_max,TP9_theta_mean,TP9_theta_std,TP9_theta_min,TP9_theta_max,TP9_alpha_mean,TP9_alpha_std,TP9_alpha_min,TP9_alpha_max,TP9_beta_mean,TP9_beta_std,TP9_beta_min,TP9_beta_max,TP9_low_gamma_mean,TP9_low_gamma_std,TP9_low_gamma_min,TP9_low_gamma_max,TP9_high_gamma_mean,TP9_high_gamma_std,TP9_high_gamma_min,TP9_high_gamma_max,TP9_very_high_mean,TP9_very_high_std,TP9_very_high_min,TP9_very_high_max,AF7_delta_mean,AF7_delta_std,AF7_delta_min,AF7_delta_max,AF7_theta_mean,AF7_theta_std,AF7_theta_min,AF7_theta_max,AF7_alpha_mean,AF7_alpha_std,AF7_alpha_min,AF7_alpha_max,AF7_beta_mean,AF7_beta_std,AF7_beta_min,AF7_beta_max,AF7_low_gamma_mean,AF7_low_gamma_std,AF7_low_gamma_min,AF7_low_gamma_max,AF7_high_gamma_mean,AF7_high_gamma_std,AF7_high_gamma_min,AF7_high_gamma_max,AF7_very_high_mean,AF7_very_high_std,AF7_very_high_min,AF7_very_high_max,AF8_delta_mean,AF8_delta_std,AF8_delta_min,AF8_delta_max,AF8_theta_mean,AF8_theta_std,AF8_theta_min,AF8_theta_max,AF8_alpha_mean,AF8_alpha_std,AF8_alpha_min,AF8_alpha_max,AF8_beta_mean,AF8_beta_std,AF8_beta_min,AF8_beta_max,AF8_low_gamma_mean,AF8_low_gamma_std,AF8_low_gamma_min,AF8_low_gamma_max,AF8_high_gamma_mean,AF8_high_gamma_std,AF8_high_gamma_min,AF8_high_gamma_max,AF8_very_high_mean,AF8_very_high_std,AF8_very_high_min,AF8_very_high_max,TP10_delta_mean,TP10_delta_std,TP10_delta_min,TP10_delta_max,TP10_theta_mean,TP10_theta_std,TP10_theta_min,TP10_theta_max,TP10_alpha_mean,TP10_alpha_std,TP10_alpha_min,TP10_alpha_max,TP10_beta_mean,TP10_beta_std,TP10_beta_min,TP10_beta_max,TP10_low_gamma_mean,TP10_low_gamma_std,TP10_low_gamma_min,TP10_low_gamma_max,TP10_high_gamma_mean,TP10_high_gamma_std,TP10_high_gamma_min,TP10_high_gamma_max,TP10_very_high_mean,TP10_very_high_std,TP10_very_high_min,TP10_very_high_max
P10,0.010103697926398474,0.007838662955375214,0.0037468507222953506,0.012962821965824984,0.003050528978677197,0.007625998160230101,0.020345591174500965,0.005611294856800215,0.014502033514007456,0.013327372539214349,0.0037761619326733232,0.012345026842361247,0.007660155198838983,0.006266113422714897,0.005678221019339722,0.006902505053447843,0.006996712724111398,0.02044721128908272,0.007394905403593811,0.02062156426182052,0.010890923121576794,0.015385003521053799,0.00986006905810881,0.013311746383902085,0.0070889548661386146,0.002234257782123777,0.009803592809788703,0.00874532312927446,0.005727179932970006,0.006498636574436559,0.021077942712701376,0.009658533452620757,0.0038271830504451104,0.00564015096196061,0.0077981875876237325,0.007888886850326016,0.005739318983345796,0.005397598135674443,0.003967414143600764,0.007461399476496196,0.0068590839885397945,0.007724372891800752,0.02105559001968009,0.019230341540165622,0.005853048568745717,0.006786915716062088,0.005260847482159812,0.004659848768150287,0.004349775973998028,0.005546806208828203,0.0031079694145639135,0.008399775930578827,0.0048606794718404536,0.0077182614380553625,0.026191978296310613,0.006889381742670353,0.004174704552263126,0.0038777362058194996,0.0015997382969716305,0.009793698462318933,0.007745134789041524,0.004714178924328936,0.007386558136174072,0.006726889520119,0.0041861842805891855,0.0023397707416163874,0.0042601976217358705,0.0033827150708335674,0.008460404283175241,0.0051248401879448015,0.017204031375942355,0.0074288971778424355,0.004364834860156469,0.005186323275882986,0.006201362191839789,0.004129699658429194,0.003043510961351232,0.010070915056176735,0.0058435403714284006,0.003636324207372239,0.006202737752924966,0.005187777850646651,0.012025544564606281,0.0033831425587011145,0.011278786400486032,0.020123818799987942,0.00523527273922448,0.015276503917726945,0.0074473337145637385,0.01002919831854548,0.011809919021528434,0.007253177249252272,0.01768914103524916,0.01741179999968198,0.008460404395005118,0.01651401673815561,0.03014504124865994,0.005537970158923482,0.003424322718062096,0.013270625781512195,0.009406618178042342,0.010335621612705332,0.005138461181567665,0.011124661705571874,0.016265606373678534,0.01741702773144731,0.010450249662847924,0.010112978416993728,0.015255615519867953,0.00758870778774841,0.00591919949203028,0.002696117237074019
P11,0.008175796821604927,0.006306427431310688,0.0077670121690901804,0.008892181806489341,0.007927736445162042,0.015539726956083898,0.005934496287770804,0.010038176333724013,0.00519772455256652,0.003320785312277129,0.014502330288022617,0.008185059833010764,0.004042984279576262,0.005700069286611066,0.02657741113416824,0.012201087812124973,0.005975206778040164,0.006250199185876507,0.008024953976125408,0.0058896869927211526,0.010762604788865893,0.007121164432910546,0.00705644121104876,0.00801797926517675,0.004786564730186186,0.00624361566117773,0.007524523260525047,0.010219182380354467,0.005589376585714629,0.005767919024210174,0.011723496570925798,0.010851348529478819,0.00846435107271334,0.010257355825953095,0.0037070652578231893,0.01025856576687062,0.005610891660255619,0.00332259942128336,0.007262682883106884,0.00832832473331226,0.010744882918916211,0.00974239879965026,0.014715659809156175,0.01050852861945753,0.009248082582928214,0.012432326068585162,0.009159913213090747,0.008976944623731773,0.005834852670176108,0.008728521829074552,0.009616341578659858,0.0036496411102554128,0.006286570130310938,0.00621235337811615,0.009604231754108126,0.003894643592248447,0.011625277517024532,0.0225667359537116,0.00963049718274043,0.01545329778502801,0.01153976095668986,0.007044762346046049,0.006505031305995224,0.006770812602066364,0.007294766471260673,0.015199594889601329,0.006990582617978659,0.012053493500112979,0.006098222385753833,0.008627660169271887,0.00802690050435787,0.010758421225193278,0.00625248030999496,0.00941078450428432,0.010890220297488826,0.004563232674089603,0.018227945122154594,0.012703705299330783,0.012047531441224852,0.009986233081219589,0.006387993010731688,0.0064800021731804,0.03873695013111296,0.00978813768801862,0.005272827661178679,0.007037192375253968,0.008816747322416885,0.005005889837864975,0.009212190836339652,0.005610114071270273,0.010485878076416441,0.014378100003213967,0.0035727591241481713,0.0052138543652026,0.006877396107014022,0.0022936902875003357,0.007811042484858394,0.0032660413636157507,0.015952653292100598,0.005183823631769494,0.012733670104899944,0.007169408257048594,0.0073066583940655004,0.008087560799290875,0.009022964272771031,0.007142504949670536,0.015959679230907207,0.011666516108775307,0.008431805740488735,0.003846022163272738,0.009854422724765277,0.002446553845500903
P12,0.006246621990121952,0.0018639009911664882,0.007704672052076477,0.0037594486412309545,0.00267535084518085,0.006710793644064875,0.0020870193590696307,0.0023732454541059004,0.003541843983572457,0.005207065499185114,0.0028845040702526487,0.0014313818409812653,0.0007266446406157099,0.006147844018853089,0.0024990350331931966,0.003989953411991363,0.003323751369754431,0.0055502661622679325,0.008233368569200402,0.007037168600906823,0.0002861808444716764,0.0023941922963060846,0.0016877815347498765,0.0027772341617635144,0.0013987428349622616,0.001411643645792124,0.0021290380552900713,0.0019354305835470875,0.00436609449596214,0.008221555184412975,0.00172868523881439,0.0017385667424600548,0.010100995682074544,0.004794703175394143,0.009396855935879743,0.008024333900931616,0.0022014762174749646,0.003724990658774029,0.001095568133490585,0.0003350999013558733,0.0007911957144452464,0.0017989469683346903,0.01874072468394681,0.005192424169860567,0.0027342898377877216,0.0054834609255814725,0.004094215162893683,0.003110114757076282,0.008094306595306296,0.010815934054807226,0.0024147589911169137,0.00218744846485728,0.003497040186100907,0.008145007894750547,0.007524555249004596,0.0023369359613881675,0.07817567311774556,0.08678649686369627,0.004583777391220788,0.10554130986498068,0.018792320920016394,0.02072970037963641,0.0064888293986998455,0.021173927339331478,0.012668010439355872,0.020406102263443207,0.005000733530931742,0.05064156581642831,0.0021010512463636717,0.0022258154611322152,0.002056445546802155,0.001376376965285795,0.008740101001052438,0.006022988037172088,0.002424440543651693,0.0023558772229933774,0.006699024045861122,0.008842261389463283,0.0010496742919419463,0.008055609985743539,0.0022292152360113104,0.0026880057529731173,0.004598838273565265,0.0023076468009146835,0.010155174170727326,0.01976168720326158,0.018304378406975783,0.02220966314039109,0.016546483863999296,0.030111272600044578,0.0015592575887325808,0.01467244108922766,0.004923286919247836,0.003076067896721857,0.012583322274269573,0.0007874524024005921,0.021249175374706677,0.01920599912898075,0.00041226624543577907,0.008110764318345167,0.006917174135766666,0.003974963516669619,0.015083870285656569,0.0026390937489739713,0.007766548198838954,0.008661783288283417,0.00041958500265397463,0.003924557066108681,0.0018479765407264635,0.002869419932876341,0.004261409976618208,0.0024986975379870263
P13,0.011214780245673836,0.007948567461914751,0.011798056217440577,0.009874206523721854,0.002354598109060036,0.012167552199940155,0.011004238038128871,0.00841831132415255,0.007256915166843182,0.0047791557290534055,0.007621013686240392,0.003944145463561833,0.007744315139107481,0.003199648407629333,0.007925649287951258,0.014641120180460234,0.004026845553473039,0.015858339414510675,0.015021415970299871,0.014253892967780003,0.007815983190363864,0.0035272585471072594,0.0076847355108636195,0.003254144906608428,0.0049273116174890505,0.0035508964052623476,0.009318831581335783,0.005819824332852091,0.009530868927728536,0.009996620815749827,0.056577271047055025,0.006831598011887857,0.010897163702167525,0.0036577290815746895,0.004741582621440175,0.004317413912411854,0.014534933842904418,0.003439298088537524,0.004441406945442551,0.005064025801695392,0.009131982970694334,0.013712581696297022,0.018425717800824793,0.008618341099749221,0.009418951985201174,0.015286847885199044,0.006846214906411214,0.028557869741455043,0.017345501440658405,0.017837268330415313,0.012872045101678447,0.021675470135116504,0.014850114430030013,0.0106987684681003,0.0060579204827859055,0.019960366243846756,0.006826343351341562,0.002254677539598136,0.0048531546393623,0.005544812446693981,0.008630636523469347,0.008304199860577068,0.013115826517576194,0.0025433599902883936,0.010351382764994956,0.0122343615008144,0.01800004460114464,0.012783206868466884,0.01019201695172156,0.004395931254752377,0.004490890118364083,0.0048547622573839825,0.008327651954175529,0.00832906306476972,0.0073120903192736165,0.004453364482106915,0.003176083576408262,0.007294800334985921,0.010042981086590188,0.007298209202484453,0.004510296176095243,0.002447181928965393,0.012144800273914215,0.0048167005196254505,0.004100707811190192,0.01429796261359403,0.009755481366982208,0.005883550918536131,0.005730129405314439,0.005856050294773785,0.007878347336978913,0.0038812672616884993,0.0032807648761026425,0.006585742550795367,0.007567474687082566,0.006507727564816858,0.0084867348220131,0.010959098514590539,0.006234772836942696,0.008742834581286392,0.006101723293386677,0.004897083094316704,0.005601545918236891,0.010718129383384399,0.006170140101846671,0.003425334255961649,0.014385778394927818,0.008613853036032675,0.006719832586396382,0.005723237894272473,0.007767488785236524,0.002320747011483392
P14,0.009721266666387783,0.012982603147118021,0.010778694698948108,0.009684525971344614,0.0076226145313285235,0.00713475845728763,0.012831351804202773,0.005923671394404175,0.008771068853044541,0.009352068628542242,0.025868275490756286,0.01998597329277288,0.0044162326798994735,0.0019295848310906263,0.004575547397392379,0.014039360660956424,0.004089567495038799,0.004055184525775469,0.010597697123243566,0.00815005654102188,0.007024100318497302,0.005708749756915619,0.007716439159187583,0.007797813148304026,0.004740375936203805,0.0035040184001801865,0.007965224454938295,0.007119763027740088,0.007765371084548874,0.011160392145879076,0.005530660990972427,0.013217242917287469,0.004729654006991944,0.008587185565740351,0.00952870252558331,0.012667352079900118,0.008938436487931327,0.007920711475220634,0.008414200102604057,0.00425815876077195,0.00931467949405874,0.005162204818831993,0.015677174767425882,0.01780470639556109,0.008516196926449988,0.015752605528718742,0.005927928752063217,0.013867745967910978,0.007887003194756098,0.0037366139778509744,0.004878178484931729,0.003537123033176611,0.004070293438838191,0.007182324087166424,0.008217576955262557,0.016331367890411258,0.012871793024242816,0.011268910877208684,0.004559372071606029,0.014496179856101783,0.012538544435712094,0.0095784096305102,0.017378328678397146,0.007484926096959557,0.008607141770720214,0.0065933342246044455,0.011854423956609928,0.005578612702257024,0.007794401056055693,0.013601434084626926,0.006447451376182427,0.014606492984711821,0.01077349682523209,0.007481337668628246,0.021169658622406023,0.004345196696183413,0.009289604194278461,0.0067550971717248885,0.008888104271852014,0.008442456360487488,0.01121791849933619,0.013604294196680956,0.009829148713793602,0.00834522752664963,0.00599655683211173,0.00846924429378904,0.0073113178274456245,0.006366417931694366,0.009617358986618368,0.005037541314949062,0.009866547013008802,0.01005336896883809,0.00983091875150755,0.00983885085744397,0.00638994545184579,0.01054176059973577,0.006394172818148778,0.005647427073235722,0.006611241054507385,0.007512774235352103,0.00999399018307471,0.010546959641920223,0.004232878063002129,0.011223604079564171,0.00627952102517142,0.007370953105393133,0.008135747969274543,0.008196619755240215,0.0070638096318626905,0.0037676325767187725,0.010406734503356226,0.007226427632060738
P15,0.007015498620737194,0.007206276963940523,0.004581542998926905,0.011992527527891768,0.00515286285889379,0.0062507836162472305,0.0062346856539389015,0.004153566754589497,0.0035010643961470977,0.005939407196048535,0.006207374001785572,0.007125735032782941,0.004255955407903443,0.005989386989885278,0.002443244868091847,0.008043783578803549,0.003578820498436974,0.004138504082531572,0.005167359280162956,0.005429275005233091,0.005336608700827583,0.006344495803532778,0.008489882190937981,0.0067043465540369725,0.008602754511162315,0.007849811122977755,0.010062007187563473,0.0018362092323053352,0.025078922627361822,0.040347830359793536,0.011154748368325171,0.044398958022052334,0.01180041747083446,0.009885612131050932,0.010629770258839332,0.008932959404612546,0.0104196388428757,0.01430129421859601,0.0057673458383321165,0.01652046547005699,0.0019879558978564316,0.005694533900864791,0.011050453125740602,0.004785282530581438,0.00960275165577353,0.007935848347392745,0.00968545144856559,0.005089565611814156,0.023197224562105226,0.014075057374079596,0.00880422248706008,0.010263223098407144,0.009921015021681516,0.010750162496624922,0.019385568649470906,0.010665067438106439,0.007345747575049955,0.0066603158831079435,0.016380780445607403,0.007246326013750725,0.004634245879926253,0.0026827630174692868,0.0044793169465372215,0.012058518403006311,0.009097595374081655,0.005804850079256335,0.020568382386722095,0.005729236165157719,0.003335185852337315,0.00608045711277354,0.011769659041545599,0.007366422605082056,0.007278864533748539,0.010963979951672864,0.004998085997422535,0.0031568252480914188,0.0089334613416427,0.0063976763755491575,0.006284714098842086,0.0038049698228560564,0.010005113660920746,0.009729313870506583,0.007180772438189864,0.004429038121244791,0.022714636878212263,0.00820935586650098,0.008185772363864124,0.008565672456914631,0.008277656263966114,0.004072365306874053,0.013656057194516933,0.0061158722482413915,0.005298857950358167,0.00502131343892682,0.0064809937273647,0.004208687891322128,0.018814596329571606,0.012568949149486358,0.006041067474584105,0.005189614595348372,0.007657215415930232,0.01389740239247934,0.00794368620599445,0.007467482060865825,0.0066934387539075955,0.008856357934276155,0.004248173774147438,0.010118461541740604,0.011108537287529068,0.003081299577248774,0.01012058674550195,0.009218153637048133
P17,0.011200641657307138,0.009165661631434023,0.00819610628102455,0.015947286568801525,0.00495370281458963,0.008067125702192117,0.009505327298739076,0.012362901805406263,0.014899764090167323,0.006672695427907347,0.00533331631647556,0.01559007973690166,0.0053880265451376076,0.007687886686122021,0.00786162584006981,0.005082133432567309,0.011107296494236174,0.009585152794485605,0.017126119925101758,0.011161542937244877,0.007876319814378726,0.0062452166155887445,0.006353915755329133,0.007413352496756081,0.003825448535858651,0.005162140560099251,0.012258199081216021,0.0070841342094102025,0.0064936486804706185,0.008991096958970485,0.0052072594754667,0.008742329205071406,0.00576104467132568,0.006544757356946163,0.010560788410301695,0.005313791870308493,0.007879211861410069,0.010735571890524306,0.006622444480717297,0.007415324609255536,0.01067963342138986,0.006352951548921923,0.010031351164176134,0.008426139261853738,0.004968365171343756,0.007386002594725009,0.0042194476673440085,0.00637090941401035,0.016227576437570494,0.01967751648393193,0.019162676482253737,0.012404929530118703,0.006263190254661084,0.004004484878969473,0.00588905340090208,0.008012384093556701,0.0050093982420632115,0.010868919766447004,0.008376823799467142,0.009950598753568057,0.005378019202078442,0.013428808584508336,0.015102709074640976,0.015342929648628212,0.007310279189568241,0.013588883378433059,0.014113432907532848,0.00852737095506953,0.0062822726439967546,0.00497127490282726,0.006898690621082781,0.006311550717047302,0.011217847149919366,0.008238796210857711,0.006140677904935054,0.00569076343358706,0.018135747128294966,0.006544937799298003,0.00596917584054883,0.007666224902972621,0.009925979872097503,0.009850709580161033,0.008532098145614033,0.006653079466451194,0.006845548919909699,0.011490286674803585,0.010040048414489989,0.013995029024736228,0.006950155431904054,0.006340676957787858,0.009126892259603421,0.010634249945771987,0.008743942772869547,0.007777128633692893,0.005851861504313594,0.006709010285952276,0.010405718893081381,0.005454365299144364,0.0059219324524383,0.006590491547535501,0.009334203761736284,0.008052666703137965,0.005794145229575079,0.01596144276562905,0.00823772186303467,0.0061513986947234174,0.008618794498068977,0.012258455555445958,0.002678849747178237,0.0074853507995837655,0.026308102295065323,0.006756526916044471
P18,0.0024767445665796616,0.005983609599979683,0.007213742247155266,0.004926043412423657,0.015696755360346145,0.009735445813213834,0.011601570275265911,0.014792009473115922,0.006228582047929738,0.006837598378181709,0.005579597318233855,0.007635125583482914,0.008038982560021352,0.007781106662431852,0.006053733187110904,0.008368520686832977,0.009253690570687405,0.007214932893126995,0.00685297171332151,0.008975655408858545,0.005604981322071757,0.005334655108128675,0.009409802434610964,0.0049292237399789305,0.012570884972153553,0.011714611922716387,0.01184133590319638,0.011176156952292647,0.015500459357292495,0.015358972965133721,0.009974967708054132,0.011856300549011519,0.02153761317392298,0.025701599097057302,0.008622643754421318,0.02609264834229135,0.009284516727449291,0.010286483673857346,0.00688803137959271,0.007521341382747991,0.005909823315397674,0.00636989006917276,0.01224703112543675,0.01306328548865716,0.007663360469080068,0.009421600948670344,0.003826216250080773,0.008580360295100904,0.005059077601793352,0.006015869050943181,0.01825541928074693,0.008654567950645347,0.008044213260659749,0.008692830076460475,0.012524365662105994,0.012571125496792124,0.011467499304569312,0.01182320612643273,0.013844349192990822,0.007676766115536312,0.007208003092807901,0.005483899470722829,0.01270871392592795,0.004828035778595357,0.00606800726306355,0.004344096818908041,0.010180656166109641,0.005778776030443078,0.012550610825467323,0.007201423875301562,0.010056664338277128,0.01334430081471092,0.01174561189354338,0.011829681530227478,0.013099870216577426,0.015118597932458306,0.004160529087749616,0.00441417684740766,0.00872913420771612,0.003408669715522852,0.005781600932904263,0.00475126245320256,0.007305229029120659,0.006283252587652469,0.006426784536395594,0.0059816874389991325,0.0034214814580928116,0.0064105123717363,0.004042292677078182,0.004124882222994605,0.012643557735451776,0.008880831547646994,0.005527262999573113,0.004828080467813095,0.01724554464444579,0.006332424749331506,0.008087619660330954,0.007090639200592319,0.0066884142309939065,0.00596890515390531,0.008085465693749218,0.008841114065686911,0.007629007548518179,0.006996561928333903,0.00520229692913336,0.0038825734966700777,0.006342450357597948,0.017505182402580515,0.005138996541663262,0.006181399107429162,0.008050999811982491,0.011897720881301463
P20,0.019764842165973028,0.012009429079233525,0.006852283260752634,0.00984100325573235,0.005339014048446634,0.009580714056839874,0.009644727218507131,0.00782056917211953,0.008458417335730483,0.005912963206429138,0.007066358570949362,0.007893210654880014,0.004782036986212421,0.018781439243459,0.010349786030092501,0.014699395061607032,0.005072722437191947,0.00651551080549606,0.021268124559130124,0.0064316617258651405,0.006073739411773371,0.010397331249956166,0.006098991128957652,0.01364865731330704,0.006275410323496917,0.006423680221635534,0.010128715194176314,0.006263035092098528,0.01387933071772121,0.019832057129342467,0.017923571269304037,0.017776030064887954,0.004635071360418813,0.004885887999894628,0.011608068352856528,0.004916680323518349,0.005069881667441914,0.008055615820631022,0.01030600815157132,0.00581712807722243,0.007898607471307925,0.010226313479569456,0.013442903511207383,0.011238191148768013,0.007065321925714212,0.008757228911328086,0.0064066518421910836,0.010196191560435646,0.005511204687397686,0.007015346587224865,0.008942652790173925,0.010915305326362392,0.006656719835394462,0.007695698057017641,0.008103582160279805,0.009409770813711834,0.010576451400446066,0.011046112523975053,0.010150590902686062,0.006554879869296726,0.006966287403802745,0.006193657916153748,0.016716846834552684,0.0075776802209741876,0.010526876841716605,0.006866697523542015,0.00802797004409262,0.006948287196524989,0.01047842020409274,0.0036556018292171286,0.006578583003509384,0.008431582885954554,0.007391836832148013,0.007126556811864014,0.00988262961549792,0.008612749000741257,0.008656299873496963,0.006239186020741661,0.008278322301150285,0.007551838758113231,0.00730834241730444,0.006486868670032785,0.0071446270842631275,0.007962383316330608,0.013046155451902776,0.007494693012992116,0.00766369028613888,0.004489266736049476,0.005174394795438099,0.003340647595211004,0.012554456768979365,0.008465661493484782,0.012475543455884608,0.008073098693649774,0.01672172760141143,0.008163803942051193,0.012205012484660162,0.007359474412111267,0.007227815443509909,0.00683868790655224,0.011454771126136274,0.004765997684006701,0.006068778754546397,0.007087518468143258,0.009927685123914268,0.008306841122985194,0.009464127054877093,0.0108038323173784,0.0052903666216675025,0.005541545330137021,0.016587716584120487,0.005887732576894178
P21,0.01580147740825405,0.018051674194873125,0.005914463305884301,0.00995693368951376,0.0026832274174994784,0.0057599850156092435,0.014968500703993004,0.0055782617713313306,0.01084670216354407,0.006538744896851123,0.010123639650712096,0.00717077957024672,0.0031081620224113872,0.004411513201264333,0.006838728108306002,0.005540161740909213,0.007246260929823282,0.01133188965801592,0.007969177770476156,0.012680925565372909,0.0031960589853380532,0.003721379282916161,0.008674000332404213,0.0037545193581834703,0.003219397471630662,0.0038279207245393936,0.00969198854423708,0.004939383606688678,0.01087754197812524,0.014015382568645316,0.01796196410897874,0.020808514901928536,0.022622413101517625,0.013372523449993744,0.0049051456095521905,0.014084721178490816,0.004297353814909224,0.0116737867942074,0.01363701619456838,0.005973899237798171,0.0074205343522085855,0.00815827844050829,0.010949060463100195,0.011315839489792643,0.0090363317930194,0.00635764100641083,0.005577571719406882,0.011580240091460131,0.007264351499681952,0.007834676039697201,0.010627704551038343,0.008356934557452712,0.004386575829762188,0.008052312195151935,0.013659980196681352,0.01288041901692421,0.018249867517170823,0.012961301122354692,0.007092357734230262,0.021080571704547472,0.006934210105337091,0.00225764503933607,0.025184194774272833,0.003228032421125399,0.005880289080890344,0.005414276534531259,0.004085055440101002,0.005478472564314615,0.005289403735529921,0.007753775968241497,0.006625674602267298,0.006100525799777734,0.005231807403622184,0.004523097327268411,0.007810628841548824,0.003596410818489877,0.005666236190415122,0.006108951578323384,0.005562124813119652,0.009525129835263076,0.007954403872725758,0.007519372395138724,0.01210914518917326,0.00881739964376983,0.009060379138837855,0.019939647711352045,0.0058899163953674396,0.01871266071289531,0.006501731297514077,0.01268218461505967,0.018576455528506917,0.005833041453756183,0.012416862611939855,0.008757571325118544,0.01565038646403045,0.00910132979454235,0.007396992053745761,0.003972123905526445,0.0065445985731695435,0.005147827606102186,0.00580321420180331,0.004361627467785287,0.00950963355814536,0.00496025343193777,0.007738785071286111,0.0038908803892919136,0.022056452060404075,0.006777977002878135,0.005045503951221208,0.010493348113065954,0.005984505749273672,0.007919176490714714
