participant,stay_mean_ei,skip_mean_ei,ei_difference,mannwhitney_p,cohens_d,significant_p05,ml_accuracy,ml_recall,ml_precision,ml_f1,n_stay,n_skip
P18,0.5464772172862266,0.560048557469593,-0.013571340183366476,0.49106837830435335,-0.046209690984410315,False,0.5413563458856345,0.5602010050251256,0.8343410511518725,0.0,996.0,201.0
P11,0.8759186911387767,0.9141846060243425,-0.038265914885565744,0.04830060900107908,-0.2014522614065862,True,0.6077401098596239,0.6276235124413991,0.8946434030982994,0.0,1179.0,162.0
P9,0.49798501581576027,0.49705129675305687,0.0009337190627033976,0.7721191899440345,0.004636044408129751,False,0.4931468981035037,0.49432624113475176,0.9191807543162032,0.0,1410.0,119.0
P23,0.48653394730407945,0.46849720550962903,0.018036741794450417,0.13409771266208742,0.04356474037071637,False,0.39422140318546794,0.33302191154725097,0.800801393728223,0.0,862.0,206.0
P14,0.4034356146475329,0.3745342308036715,0.028901383843861428,0.11433592520086812,0.22286502606448538,False,0.495061893609903,0.48675799086757987,0.9061952026871187,0.0,1095.0,129.0
P26,0.4463901845525052,0.5505525197565087,-0.10416233520400348,6.596116759016659e-05,-0.40425896397817646,True,0.651975537262103,0.6604231667604386,0.9635923120193965,0.0,1711.0,82.0
P5,0.5755264620546421,0.5942720191887387,-0.018745557134096646,0.3591569400407447,-0.03506569218351414,False,0.5450222189844831,0.5492568038022583,0.9769105796753801,0.0,1819.0,34.0
P6,0.4324688128569769,0.4409826872370724,-0.008513874380095487,0.9393080276121836,-0.049171469360345894,False,0.6078492899679341,0.6242747520119784,0.9282172779116753,0.0,1368.0,111.0
P30,1.0065107018553914,1.0387911502145226,-0.03228044835913124,0.16720923760220674,-0.12884172978694972,False,0.5912940907008704,0.6032132083602673,0.9276242855423076,0.0,1361.0,117.0
P25,0.983196439446818,0.9881353225282675,-0.004938883081449519,0.8203994428823087,-0.01972960229046544,False,0.5225138339920947,0.5306925393108063,0.8849831651064731,0.0,1221.0,155.0
P17,0.7437380642710847,0.7455244191514537,-0.0017863548803690454,0.8131678979279724,-0.012701338491287266,False,0.453021978021978,0.44691845764854615,0.6296100896606515,0.0,564.0,277.0
P20,0.357180944387511,0.35190467380680707,0.005276270580703957,0.6676892590398726,0.02820788099098014,False,0.49303505535055353,0.49366731030537087,0.8662476472259332,0.0,1183.0,176.0
P12,0.5754898056143625,0.5752152464617416,0.00027455915262086794,0.8630202126218607,0.0010449620446325956,False,0.4737325418069064,0.4790521100865928,0.9588752874002754,0.0,1889.0,55.0
P4,0.8570310886683951,0.8731275157263937,-0.01609642705799863,0.4332324064944566,-0.08106894507002468,False,0.5003000107146683,0.4975464576074332,0.9457189435099982,0.0,1439.0,90.0
P27,0.3450136145050154,0.34228395320390936,0.0027296613011060233,0.7667011018278127,0.010238211593814871,False,0.5036144578313253,0.5120874237466165,0.8829715285243562,0.0,1111.0,134.0
P15,0.734359479478608,0.722693679586889,0.011665799891719009,0.5007571423062172,0.04168278011181302,False,0.5418245456950408,0.5522491349480969,0.9180986655127812,0.0,1445.0,122.0
P22,0.8522956797690282,0.8413663253592238,0.01092935440980436,0.2637950035737531,0.04022295248149552,False,0.5075957522968618,0.5094545454545456,0.947379804993324,0.0,1374.0,74.0
P10,0.48105939491575794,0.47944883629779494,0.0016105586179629983,0.6603564568532003,0.01301661090244669,False,0.4810159254121819,0.4826086956521739,0.948479490624133,0.0,1610.0,76.0
P8,0.8079975851792951,0.8314156419999169,-0.023418056820621813,0.08183008889333876,-0.08328284951375868,False,0.5693154948968904,0.5846402126447694,0.8934910759887108,0.0,1146.0,145.0
P28,0.3903727066260572,0.3515869093837613,0.038785797242295916,1.7166311344678356e-05,0.20910243949937882,True,0.5207458610684417,0.48965517241379314,0.8498672572735041,0.0,870.0,213.0
P13,0.7949260033745017,0.82332033950406,-0.02839433612955833,0.2756808504987972,-0.09673452146252304,False,0.5691750623815688,0.5751871906595033,0.945676670525722,0.0,1537.0,97.0
P21,0.7931717815388,0.779357333237562,0.013814448301238014,0.5334613728311324,0.05024178384896601,False,0.5126582278481013,0.5169766376546038,0.930746376480522,0.0,1476.0,104.0
P24,0.8095313984188205,0.7597220659151914,0.04980933250362907,0.01832675747257961,0.18667674392043984,True,0.5287536539994685,0.519047619047619,0.8199749484232243,0.0,840.0,221.0
P31,0.7534982737563215,0.7476714637853407,0.00582680997098084,0.7217483642486804,0.030053373398609712,False,0.48886531069827033,0.49077980438805174,0.8613260219048348,0.0,972.0,147.0
P7,0.6255679485849962,0.6983954168595242,-0.07282746827452802,0.00043217845384804825,-0.25777868965966333,True,0.6512670871585374,0.6592984239959329,0.956142453702539,0.0,1403.0,91.0
AGGREGATE,,,,,-0.021389688182071858,,0.5298041034692964,0.5311584131006203,0.8956438274794984,0.0,,
