max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
2,3,100,0.6793,4
2,3,200,0.6769,4
2,3,300,0.673,4
2,5,100,0.6771,4
2,5,200,0.6748,4
2,5,300,0.6742,4
2,10,100,0.6763,4
2,10,200,0.6649,4
2,10,300,0.6682,4
3,3,100,0.7208,4
3,3,200,0.7047,4
3,3,300,0.7096,4
3,5,100,0.7165,4
3,5,200,0.7081,4
3,5,300,0.716,4
3,10,100,0.7145,4
3,10,200,0.71,4
3,10,300,0.7094,4
5,3,100,0.7739,4
5,3,200,0.7789,4
5,3,300,0.7727,4
5,5,100,0.7776,4
5,5,200,0.7683,4
5,5,300,0.7672,4
5,10,100,0.7543,4
5,10,200,0.7536,4
5,10,300,0.7494,4
2,3,100,0.5745,5
2,3,200,0.5821,5
2,3,300,0.5765,5
2,5,100,0.5709,5
2,5,200,0.5781,5
2,5,300,0.5712,5
2,10,100,0.589,5
2,10,200,0.5705,5
2,10,300,0.5624,5
3,3,100,0.6382,5
3,3,200,0.6471,5
3,3,300,0.648,5
3,5,100,0.6458,5
3,5,200,0.6342,5
3,5,300,0.6488,5
3,10,100,0.6214,5
3,10,200,0.6193,5
3,10,300,0.6147,5
5,3,100,0.7032,5
5,3,200,0.6884,5
5,3,300,0.6915,5
5,5,100,0.685,5
5,5,200,0.6796,5
5,5,300,0.6796,5
5,10,100,0.6437,5
5,10,200,0.6474,5
5,10,300,0.639,5
2,3,100,0.6307,6
2,3,200,0.6267,6
2,3,300,0.6255,6
2,5,100,0.6301,6
2,5,200,0.6235,6
2,5,300,0.6251,6
2,10,100,0.6176,6
2,10,200,0.6184,6
2,10,300,0.6231,6
3,3,100,0.6783,6
3,3,200,0.6783,6
3,3,300,0.6674,6
3,5,100,0.6772,6
3,5,200,0.6756,6
3,5,300,0.6718,6
3,10,100,0.6715,6
3,10,200,0.6652,6
3,10,300,0.6603,6
5,3,100,0.762,6
5,3,200,0.7723,6
5,3,300,0.7679,6
5,5,100,0.7639,6
5,5,200,0.7602,6
5,5,300,0.7598,6
5,10,100,0.7375,6
5,10,200,0.7383,6
5,10,300,0.736,6
2,3,100,0.8192,7
2,3,200,0.8219,7
2,3,300,0.8214,7
2,5,100,0.8186,7
2,5,200,0.8199,7
2,5,300,0.8201,7
2,10,100,0.818,7
2,10,200,0.8207,7
2,10,300,0.8193,7
3,3,100,0.8395,7
3,3,200,0.838,7
3,3,300,0.8409,7
3,5,100,0.8339,7
3,5,200,0.8347,7
3,5,300,0.8403,7
3,10,100,0.832,7
3,10,200,0.8326,7
3,10,300,0.836,7
5,3,100,0.8532,7
5,3,200,0.855,7
5,3,300,0.8553,7
5,5,100,0.8459,7
5,5,200,0.8467,7
5,5,300,0.8483,7
5,10,100,0.8382,7
5,10,200,0.8411,7
5,10,300,0.8408,7
2,3,100,0.6243,8
2,3,200,0.6276,8
2,3,300,0.6275,8
2,5,100,0.6251,8
2,5,200,0.6267,8
2,5,300,0.6242,8
2,10,100,0.6188,8
2,10,200,0.6273,8
2,10,300,0.6225,8
3,3,100,0.6521,8
3,3,200,0.6552,8
3,3,300,0.6591,8
3,5,100,0.6485,8
3,5,200,0.6527,8
3,5,300,0.6549,8
3,10,100,0.6464,8
3,10,200,0.6461,8
3,10,300,0.6505,8
5,3,100,0.7347,8
5,3,200,0.7342,8
5,3,300,0.7371,8
5,5,100,0.7298,8
5,5,200,0.724,8
5,5,300,0.7296,8
5,10,100,0.7147,8
5,10,200,0.7142,8
5,10,300,0.7173,8
2,3,100,0.6975,9
2,3,200,0.7042,9
2,3,300,0.7028,9
2,5,100,0.6992,9
2,5,200,0.7033,9
2,5,300,0.7023,9
2,10,100,0.6947,9
2,10,200,0.6991,9
2,10,300,0.6986,9
3,3,100,0.7371,9
3,3,200,0.7346,9
3,3,300,0.7306,9
3,5,100,0.7274,9
3,5,200,0.7288,9
3,5,300,0.7275,9
3,10,100,0.7224,9
3,10,200,0.7237,9
3,10,300,0.7213,9
5,3,100,0.7895,9
5,3,200,0.7951,9
5,3,300,0.7956,9
5,5,100,0.7832,9
5,5,200,0.7838,9
5,5,300,0.7852,9
5,10,100,0.7617,9
5,10,200,0.7677,9
5,10,300,0.7686,9
2,3,100,0.6516,10
2,3,200,0.6511,10
2,3,300,0.6488,10
2,5,100,0.6539,10
2,5,200,0.6488,10
2,5,300,0.6472,10
2,10,100,0.6474,10
2,10,200,0.6503,10
2,10,300,0.6434,10
3,3,100,0.6676,10
3,3,200,0.663,10
3,3,300,0.6623,10
3,5,100,0.6652,10
3,5,200,0.6589,10
3,5,300,0.6553,10
3,10,100,0.6659,10
3,10,200,0.6612,10
3,10,300,0.6567,10
5,3,100,0.7253,10
5,3,200,0.7219,10
5,3,300,0.7154,10
5,5,100,0.7107,10
5,5,200,0.7206,10
5,5,300,0.714,10
5,10,100,0.7046,10
5,10,200,0.7087,10
5,10,300,0.7067,10
2,3,100,0.6775,11
2,3,200,0.6768,11
2,3,300,0.6759,11
2,5,100,0.6786,11
2,5,200,0.6751,11
2,5,300,0.6751,11
2,10,100,0.6761,11
2,10,200,0.6741,11
2,10,300,0.6724,11
3,3,100,0.7135,11
3,3,200,0.7139,11
3,3,300,0.7119,11
3,5,100,0.7118,11
3,5,200,0.7141,11
3,5,300,0.7114,11
3,10,100,0.708,11
3,10,200,0.7069,11
3,10,300,0.7067,11
5,3,100,0.7672,11
5,3,200,0.7594,11
5,3,300,0.7641,11
5,5,100,0.7604,11
5,5,200,0.762,11
5,5,300,0.7597,11
5,10,100,0.7494,11
5,10,200,0.7452,11
5,10,300,0.7469,11
2,3,100,0.7475,12
2,3,200,0.7488,12
2,3,300,0.7498,12
2,5,100,0.7505,12
2,5,200,0.7489,12
2,5,300,0.7507,12
2,10,100,0.7496,12
2,10,200,0.7511,12
2,10,300,0.7509,12
3,3,100,0.791,12
3,3,200,0.788,12
3,3,300,0.792,12
3,5,100,0.7922,12
3,5,200,0.7901,12
3,5,300,0.79,12
3,10,100,0.7901,12
3,10,200,0.7839,12
3,10,300,0.7849,12
5,3,100,0.838,12
5,3,200,0.8373,12
5,3,300,0.8386,12
5,5,100,0.8272,12
5,5,200,0.8257,12
5,5,300,0.8353,12
5,10,100,0.8188,12
5,10,200,0.8137,12
5,10,300,0.8116,12
2,3,100,0.6556,13
2,3,200,0.6529,13
2,3,300,0.6597,13
2,5,100,0.6506,13
2,5,200,0.6489,13
2,5,300,0.6564,13
2,10,100,0.6521,13
2,10,200,0.6465,13
2,10,300,0.6554,13
3,3,100,0.6726,13
3,3,200,0.6746,13
3,3,300,0.68,13
3,5,100,0.6652,13
3,5,200,0.6683,13
3,5,300,0.6738,13
3,10,100,0.661,13
3,10,200,0.6637,13
3,10,300,0.67,13
5,3,100,0.7352,13
5,3,200,0.7392,13
5,3,300,0.7399,13
5,5,100,0.7225,13
5,5,200,0.7299,13
5,5,300,0.7324,13
5,10,100,0.7322,13
5,10,200,0.7281,13
5,10,300,0.7244,13
2,3,100,0.725,14
2,3,200,0.7307,14
2,3,300,0.7285,14
2,5,100,0.7254,14
2,5,200,0.7312,14
2,5,300,0.7278,14
2,10,100,0.7244,14
2,10,200,0.7288,14
2,10,300,0.726,14
3,3,100,0.7775,14
3,3,200,0.7847,14
3,3,300,0.7799,14
3,5,100,0.7763,14
3,5,200,0.7824,14
3,5,300,0.781,14
3,10,100,0.77,14
3,10,200,0.7795,14
3,10,300,0.7771,14
5,3,100,0.853,14
5,3,200,0.8542,14
5,3,300,0.8526,14
5,5,100,0.8468,14
5,5,200,0.8418,14
5,5,300,0.8453,14
5,10,100,0.8198,14
5,10,200,0.8207,14
5,10,300,0.8216,14
2,3,100,0.7531,15
2,3,200,0.7454,15
2,3,300,0.7459,15
2,5,100,0.7514,15
2,5,200,0.7483,15
2,5,300,0.7453,15
2,10,100,0.7511,15
2,10,200,0.7497,15
2,10,300,0.7449,15
3,3,100,0.7748,15
3,3,200,0.7727,15
3,3,300,0.7723,15
3,5,100,0.7706,15
3,5,200,0.7744,15
3,5,300,0.7703,15
3,10,100,0.7636,15
3,10,200,0.771,15
3,10,300,0.7672,15
5,3,100,0.8203,15
5,3,200,0.8212,15
5,3,300,0.8208,15
5,5,100,0.8188,15
5,5,200,0.8179,15
5,5,300,0.8138,15
5,10,100,0.7934,15
5,10,200,0.799,15
5,10,300,0.7961,15
2,3,100,0.8238,17
2,3,200,0.8268,17
2,3,300,0.824,17
2,5,100,0.824,17
2,5,200,0.8233,17
2,5,300,0.8218,17
2,10,100,0.8149,17
2,10,200,0.8159,17
2,10,300,0.8117,17
3,3,100,0.8501,17
