Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|EI,Intra,NoNotch,NoArt,NoBurst,EI,0.48229223338474525,0.493358660649215,0.01106642726446977,1106.24,1,Intra|Notch|NoArt|NoBurst|EI,-0.04853883781860546,0.3809836506843567,ns
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.438391463890471,0.921410231982779,0.48301876809230804,1106.24,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.04390076949427424,0.6528410911560059,ns
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.438391463890471,0.921410231982779,0.48301876809230804,1106.24,2,Intra|Notch|NoArt|NoBurst|RF,-0.022054812995489004,0.036682069301605225,SIG
Intra|Notch|NoArt|NoBurst|EI,Intra,Notch,NoArt,NoBurst,EI,0.5308310712033507,0.5316782844881747,0.0008472132848239555,1106.24,0,,,,
Intra|Notch|NoArt|NoBurst|RF,Intra,Notch,NoArt,NoBurst,RF,0.46044627688596,0.924768035679743,0.46432175879378296,1106.24,1,Intra|Notch|NoArt|NoBurst|EI,-0.0703847943173907,0.17295855283737183,ns
Intra|Notch|Art|NoBurst|EI,Intra,Notch,Art,NoBurst,EI,0.48538299568257315,0.5109752337376791,0.02559223805510591,882.4159999999999,1,Intra|Notch|NoArt|NoBurst|EI,-0.045448075520777564,0.036682069301605225,SIG
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.46794726872260767,0.9382551275122075,0.47030785878959985,882.4159999999999,2,Intra|Notch|NoArt|NoBurst|RF,0.0075009918366476525,0.4418373703956604,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.46794726872260767,0.9382551275122075,0.47030785878959985,882.4159999999999,2,Intra|Notch|Art|NoBurst|EI,-0.01743572695996548,0.8119303584098816,ns
Intra|Notch|NoArt|Burst|EI,Intra,Notch,NoArt,Burst,EI,0.5350356803439799,0.5336104486363387,-0.0014252317076411947,538.2239999999999,1,Intra|Notch|NoArt|NoBurst|EI,0.004204609140629145,0.6475683676310555,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.8559147238738523,0.9891495502458437,0.13323482637199147,538.2239999999999,2,Intra|Notch|NoArt|NoBurst|RF,0.39546844698789224,1.8215297148968006e-05,SIG
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.8559147238738523,0.9891495502458437,0.13323482637199147,538.2239999999999,2,Intra|Notch|NoArt|Burst|EI,0.3208790435298724,1.9669532775878906e-06,SIG
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.5136076647258228,0.5354178360733636,0.02181017134754082,451.056,2,Intra|Notch|Art|NoBurst|EI,0.028224669043249606,0.40734696094047373,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.5136076647258228,0.5354178360733636,0.02181017134754082,451.056,2,Intra|Notch|NoArt|Burst|EI,-0.021428015618157104,0.457846462726593,ns
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.8635833396973066,0.9915747315649504,0.12799139186764374,451.056,3,Intra|Notch|Art|NoBurst|RF,0.39563607097469894,1.8215297148968006e-05,SIG
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.8635833396973066,0.9915747315649504,0.12799139186764374,451.056,3,Intra|Notch|NoArt|Burst|RF,0.00766861582345435,0.6271697535393987,ns
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.8635833396973066,0.9915747315649504,0.12799139186764374,451.056,3,Intra|Notch|Art|Burst|EI,0.34997567497148385,8.344650268554688e-07,SIG
Inter|NoNotch|NoArt|NoBurst|EI,Inter,NoNotch,NoArt,NoBurst,EI,0.8997868638144925,0.8763928219451534,-0.023394041869339022,1106.24,2,Intra|NoNotch|NoArt|NoBurst|EI,0.4174946304297472,1.233816146850586e-05,SIG
Inter|NoNotch|NoArt|NoBurst|EI,Inter,NoNotch,NoArt,NoBurst,EI,0.8997868638144925,0.8763928219451534,-0.023394041869339022,1106.24,2,Inter|Notch|NoArt|NoBurst|EI,0.03603497634808006,0.00608162992912832,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.6150486956065925,0.6755450037262863,0.060496308119693865,1106.24,3,Intra|NoNotch|NoArt|NoBurst|RF,0.17665723171612147,0.018744707107543945,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.6150486956065925,0.6755450037262863,0.060496308119693865,1106.24,3,Inter|NoNotch|NoArt|NoBurst|EI,-0.2847381682079,5.245208740234375e-06,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.6150486956065925,0.6755450037262863,0.060496308119693865,1106.24,3,Inter|Notch|NoArt|NoBurst|RF,-0.06222845091521356,0.24106645584106445,ns
Inter|Notch|NoArt|NoBurst|EI,Inter,Notch,NoArt,NoBurst,EI,0.8637518874664124,0.8536304536284288,-0.010121433837983584,1106.24,1,Intra|Notch|NoArt|NoBurst|EI,0.3329208162630617,0.000102996826171875,SIG
Inter|Notch|NoArt|NoBurst|RF,Inter,Notch,NoArt,NoBurst,RF,0.677277146521806,0.6737140237163747,-0.0035631228054313624,1106.24,2,Intra|Notch|NoArt|NoBurst|RF,0.21683086963584602,0.0050716400146484375,SIG
Inter|Notch|NoArt|NoBurst|RF,Inter,Notch,NoArt,NoBurst,RF,0.677277146521806,0.6737140237163747,-0.0035631228054313624,1106.24,2,Inter|Notch|NoArt|NoBurst|EI,-0.18647474094460637,0.0014527440071105957,SIG
Inter|Notch|Art|NoBurst|EI,Inter,Notch,Art,NoBurst,EI,0.143518174986665,0.20554228093298632,0.06202410594632132,908.8,2,Intra|Notch|Art|NoBurst|EI,-0.3418648206959082,4.5418739318847656e-05,SIG
Inter|Notch|Art|NoBurst|EI,Inter,Notch,Art,NoBurst,EI,0.143518174986665,0.20554228093298632,0.06202410594632132,908.8,2,Inter|Notch|NoArt|NoBurst|EI,-0.7202337124797474,1.7672874750956474e-05,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7102502872792071,0.7598569737979429,0.04960668651873579,908.8,3,Intra|Notch|Art|NoBurst|RF,0.24230301855659947,0.00806879997253418,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7102502872792071,0.7598569737979429,0.04960668651873579,908.8,3,Inter|Notch|NoArt|NoBurst|RF,0.0329731407574011,0.15633821487426758,ns
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7102502872792071,0.7598569737979429,0.04960668651873579,908.8,3,Inter|Notch|Art|NoBurst|EI,0.5667321122925422,0.000102996826171875,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.8789382426191886,0.8615320780497671,-0.017406164569421567,539.52,2,Intra|Notch|NoArt|Burst|EI,0.34390256227520877,3.1948089599609375e-05,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.8789382426191886,0.8615320780497671,-0.017406164569421567,539.52,2,Inter|Notch|NoArt|NoBurst|EI,0.01518635515277622,0.10804346898476004,ns
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,1.0,0.995220806979994,-0.004779193020005956,539.52,3,Intra|Notch|NoArt|Burst|RF,0.14408527612614774,1.8215297148968006e-05,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,1.0,0.995220806979994,-0.004779193020005956,539.52,3,Inter|Notch|NoArt|NoBurst|RF,0.32272285347819396,5.960464477539063e-08,SIG
Inter|Notch|NoArt|Burst|RF,Inter,Notch,NoArt,Burst,RF,1.0,0.995220806979994,-0.004779193020005956,539.52,3,Inter|Notch|NoArt|Burst|EI,0.12106175738081137,5.9569779074563595e-05,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.5509583982561721,0.6239537954948081,0.07299539723863602,454.56,3,Intra|Notch|Art|Burst|EI,0.037350733530349345,0.6915188431739807,ns
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.5509583982561721,0.6239537954948081,0.07299539723863602,454.56,3,Inter|Notch|Art|NoBurst|EI,0.40744022326950713,0.0021269364671226846,SIG
Inter|Notch|Art|Burst|EI,Inter,Notch,Art,Burst,EI,0.5509583982561721,0.6239537954948081,0.07299539723863602,454.56,3,Inter|Notch|NoArt|Burst|EI,-0.3279798443630165,6.334248366623973e-05,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.9977646732265186,0.9967534326692602,-0.0010112405572584304,454.56,4,Intra|Notch|Art|Burst|RF,0.13418133352921202,2.0705605648246455e-05,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.9977646732265186,0.9967534326692602,-0.0010112405572584304,454.56,4,Inter|Notch|Art|NoBurst|RF,0.2875143859473115,5.960464477539063e-08,SIG
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.9977646732265186,0.9967534326692602,-0.0010112405572584304,454.56,4,Inter|Notch|NoArt|Burst|RF,-0.002235326773481372,0.10880943004054569,ns
Inter|Notch|Art|Burst|RF,Inter,Notch,Art,Burst,RF,0.9977646732265186,0.9967534326692602,-0.0010112405572584304,454.56,4,Inter|Notch|Art|Burst|EI,0.44680627497034653,1.8143737624850847e-05,SIG
