scale,notch,art,burst,model,combination,pid,test_recall,train_recall,test_f1,train_f1,test_accuracy,train_accuracy,test_n
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,4,0.4846638927415626,0.477256274812523,0.40357279979005456,0.48623657671843956,0.4479556171983356,0.5215826936146211,1040.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,5,0.673440357650884,0.6517472989063751,0.4883124868231132,0.5152327004278526,0.5163973560026192,0.5165411666289479,372.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,6,0.32451282051282054,0.49574595653827036,0.36788259911961774,0.5041681994277264,0.4637156177156177,0.516751776783364,1308.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,7,0.6189734614183068,0.6544650884007812,0.5016503217658025,0.5237523523058616,0.5187596298031865,0.5277248359255589,982.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,8,0.4839519250615226,0.49649834541392035,0.438585780976583,0.5056096655156711,0.5061046450213014,0.5150093778296861,1446.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,9,0.4551432734337058,0.4191398120659218,0.4107171270107964,0.40410617703392565,0.5047138453954303,0.5079716260823932,1376.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,10,0.6388556271314891,0.5341972044367331,0.5194892858183862,0.5197843476349657,0.452086901604143,0.5065544840548515,890.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,11,0.5706346930220215,0.6533155867787961,0.4968132872452663,0.6299214298281374,0.5761181981854895,0.6176860738974544,1450.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,12,0.5667080999066293,0.6275157268469969,0.4089653217958107,0.5305515798551863,0.48699375583566756,0.5268036058977443,648.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,13,0.45259459970145305,0.4450035367237291,0.3236573098225503,0.33188297951891454,0.48612900503246853,0.5013322340867281,1164.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,14,0.39562326562326555,0.43500620690578834,0.39949385164628765,0.4580158270792457,0.46194583194583194,0.48697158806328156,1110.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,15,0.1503235029366416,0.11414240409716785,0.1862316113638351,0.18712088562466533,0.5119860342415087,0.5040863026539357,1290.0
