Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|EI,Intra,NoNotch,NoArt,NoBurst,EI,0.4829609649503667,0.48920254579749994,0.006241580847133221,257.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.01988700962055928,0.9578450322151184,ns
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.6943050776466709,0.9530778150865948,0.2587727374399239,257.6,2,Intra|NoNotch|NoArt|NoBurst|EI,0.2113441126963042,0.0008081197738647461,SIG
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.6943050776466709,0.9530778150865948,0.2587727374399239,257.6,2,Intra|Notch|NoArt|NoBurst|RF,0.15310696234583543,8.165836334228516e-06,SIG
Intra|Notch|NoArt|NoBurst|EI,Intra,Notch,NoArt,NoBurst,EI,0.502847974570926,0.510593783943417,0.00774580937249103,257.6,0,,,,
Intra|Notch|NoArt|NoBurst|RF,Intra,Notch,NoArt,NoBurst,RF,0.5411981153008355,0.8973232111359863,0.35612509583515084,257.6,1,Intra|Notch|NoArt|NoBurst|EI,0.0383501407299095,0.21998637914657593,ns
Intra|Notch|Art|NoBurst|EI,Intra,Notch,Art,NoBurst,EI,0.49783299592100017,0.4931820907170901,-0.0046509052039100385,195.888,1,Intra|Notch|NoArt|NoBurst|EI,-0.005014978649925839,0.9158032536506653,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.5438520872586097,0.9147867461117459,0.37093465885313626,195.888,2,Intra|Notch|NoArt|NoBurst|RF,0.0026539719577741705,0.8325093984603882,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.5438520872586097,0.9147867461117459,0.37093465885313626,195.888,2,Intra|Notch|Art|NoBurst|EI,0.04601909133760951,0.10139739513397217,ns
Intra|Notch|NoArt|Burst|EI,Intra,Notch,NoArt,Burst,EI,0.4910405071382718,0.5063655663171489,0.01532505917887711,254.4,1,Intra|Notch|NoArt|NoBurst|EI,-0.011807467432654206,0.12348527214454895,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.5502316371811956,0.9006967733929084,0.3504651362117128,254.4,2,Intra|Notch|NoArt|NoBurst|RF,0.009033521880360107,0.011718685599768632,SIG
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.5502316371811956,0.9006967733929084,0.3504651362117128,254.4,2,Intra|Notch|NoArt|Burst|EI,0.05919113004292381,0.05157625675201416,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.48804379556514904,0.49259944647942705,0.004555650914278009,194.832,2,Intra|Notch|Art|NoBurst|EI,-0.009789200355851124,0.16142946236708322,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.48804379556514904,0.49259944647942705,0.004555650914278009,194.832,2,Intra|Notch|NoArt|Burst|EI,-0.0029967115731227567,0.7711594104766846,ns
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.5497325014869746,0.9173701240790502,0.36763762259207555,194.832,3,Intra|Notch|Art|NoBurst|RF,0.0058804142283649385,0.20757844233562428,ns
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.5497325014869746,0.9173701240790502,0.36763762259207555,194.832,3,Intra|Notch|NoArt|Burst|RF,-0.0004991356942209979,0.9158032536506653,ns
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.5497325014869746,0.9173701240790502,0.36763762259207555,194.832,3,Intra|Notch|Art|Burst|EI,0.06168870592182557,0.04215019941329956,SIG
Inter|NoNotch|NoArt|NoBurst|EI,Inter,NoNotch,NoArt,NoBurst,EI,0.13147627161312683,0.14580154002328616,0.014325268410159325,257.6,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.35148469333723986,3.814697265625e-05,SIG
Inter|NoNotch|NoArt|NoBurst|EI,Inter,NoNotch,NoArt,NoBurst,EI,0.13147627161312683,0.14580154002328616,0.014325268410159325,257.6,2,Inter|Notch|NoArt|NoBurst|EI,-0.0344204451438814,0.016880932087628427,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.9379078093394996,0.9490114593132628,0.01110364997376323,257.6,3,Intra|NoNotch|NoArt|NoBurst|RF,0.24360273169282864,1.1324882507324219e-06,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.9379078093394996,0.9490114593132628,0.01110364997376323,257.6,3,Inter|NoNotch|NoArt|NoBurst|EI,0.8064315377263728,5.960464477539063e-08,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.9379078093394996,0.9490114593132628,0.01110364997376323,257.6,3,Inter|Notch|NoArt|NoBurst|RF,0.312987932400287,8.165836334228516e-06,SIG
Inter|Notch|NoArt|NoBurst|EI,Inter,Notch,NoArt,NoBurst,EI,0.16589671675700823,0.17842069226562834,0.012523975508620111,257.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.33695125781391777,5.3882598876953125e-05,SIG
Inter|Notch|NoArt|NoBurst|RF,Inter,Notch,NoArt,NoBurst,RF,0.6249198769392126,0.7474813043585885,0.12256142741937592,257.6,2,Intra|Notch|NoArt|NoBurst|RF,0.08372176163837708,0.15633821487426758,ns
Inter|Notch|NoArt|NoBurst|RF,Inter,Notch,NoArt,NoBurst,RF,0.6249198769392126,0.7474813043585885,0.12256142741937592,257.6,2,Inter|Notch|NoArt|NoBurst|EI,0.45902316018220435,1.8298625946044922e-05,SIG
Inter|Notch|Art|NoBurst|EI,Inter,Notch,Art,NoBurst,EI,0.12372082702678665,0.14343214997441864,0.01971132294763199,200.72,2,Intra|Notch|Art|NoBurst|EI,-0.3741121688942135,1.5079975128173828e-05,SIG
Inter|Notch|Art|NoBurst|EI,Inter,Notch,Art,NoBurst,EI,0.12372082702678665,0.14343214997441864,0.01971132294763199,200.72,2,Inter|Notch|NoArt|NoBurst|EI,-0.042175889730221586,0.00016229894900734117,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7485415374434737,0.8519455816526826,0.1034040442092089,200.72,3,Intra|Notch|Art|NoBurst|RF,0.20468945018486406,0.0027848482131958008,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7485415374434737,0.8519455816526826,0.1034040442092089,200.72,3,Inter|Notch|NoArt|NoBurst|RF,0.12362166050426115,0.005578815937042236,SIG
Inter|Notch|Art|NoBurst|RF,Inter,Notch,Art,NoBurst,RF,0.7485415374434737,0.8519455816526826,0.1034040442092089,200.72,3,Inter|Notch|Art|NoBurst|EI,0.6248207104166871,5.960464477539062e-07,SIG
Inter|Notch|NoArt|Burst|EI,Inter,Notch,NoArt,Burst,EI,0.17006600875699524,0.1830416981716674,0.01297568941467217,254.4,2,Intra|Notch|NoArt|Burst|EI,-0.32097449838127656,8.803606033325195e-05,SIG
