max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
2,3,100,0.5778,4
2,3,200,0.5969,4
2,3,300,0.5963,4
2,5,100,0.573,4
2,5,200,0.5799,4
2,5,300,0.575,4
2,10,100,0.5899,4
2,10,200,0.5613,4
2,10,300,0.5718,4
3,3,100,0.6062,4
3,3,200,0.6017,4
3,3,300,0.6074,4
3,5,100,0.6122,4
3,5,200,0.5807,4
3,5,300,0.5917,4
3,10,100,0.6026,4
3,10,200,0.5706,4
3,10,300,0.5818,4
5,3,100,0.6195,4
5,3,200,0.6206,4
5,3,300,0.6166,4
5,5,100,0.6016,4
5,5,200,0.5854,4
5,5,300,0.6025,4
5,10,100,0.6049,4
5,10,200,0.5745,4
5,10,300,0.5818,4
2,3,100,0.458,5
2,3,200,0.4362,5
2,3,300,0.454,5
2,5,100,0.4973,5
2,5,200,0.5154,5
2,5,300,0.5138,5
2,10,100,0.3925,5
2,10,200,0.3841,5
2,10,300,0.3791,5
3,3,100,0.4747,5
3,3,200,0.4362,5
3,3,300,0.4874,5
3,5,100,0.5084,5
3,5,200,0.5154,5
3,5,300,0.5212,5
3,10,100,0.3925,5
3,10,200,0.3841,5
3,10,300,0.3791,5
5,3,100,0.4747,5
5,3,200,0.4362,5
5,3,300,0.4874,5
5,5,100,0.5084,5
5,5,200,0.5154,5
5,5,300,0.5212,5
5,10,100,0.3925,5
5,10,200,0.3841,5
5,10,300,0.3791,5
2,3,100,0.5548,6
2,3,200,0.5455,6
2,3,300,0.5448,6
2,5,100,0.5629,6
2,5,200,0.5515,6
2,5,300,0.5445,6
2,10,100,0.5678,6
2,10,200,0.562,6
2,10,300,0.5705,6
3,3,100,0.5834,6
3,3,200,0.5624,6
3,3,300,0.5492,6
3,5,100,0.5642,6
3,5,200,0.5459,6
3,5,300,0.555,6
3,10,100,0.5734,6
3,10,200,0.5635,6
3,10,300,0.5472,6
5,3,100,0.5605,6
5,3,200,0.5358,6
5,3,300,0.5382,6
5,5,100,0.5601,6
5,5,200,0.5439,6
5,5,300,0.5524,6
5,10,100,0.5538,6
5,10,200,0.5661,6
5,10,300,0.5588,6
2,3,100,0.7928,7
2,3,200,0.798,7
2,3,300,0.803,7
2,5,100,0.782,7
2,5,200,0.8,7
2,5,300,0.7956,7
2,10,100,0.7787,7
2,10,200,0.7702,7
2,10,300,0.7705,7
3,3,100,0.8066,7
3,3,200,0.7984,7
3,3,300,0.8026,7
3,5,100,0.7836,7
3,5,200,0.7962,7
3,5,300,0.7956,7
3,10,100,0.775,7
3,10,200,0.7747,7
3,10,300,0.7705,7
5,3,100,0.8136,7
5,3,200,0.8171,7
5,3,300,0.8096,7
5,5,100,0.7875,7
5,5,200,0.7999,7
5,5,300,0.7998,7
5,10,100,0.7787,7
5,10,200,0.7747,7
5,10,300,0.7705,7
2,3,100,0.5147,8
2,3,200,0.4867,8
2,3,300,0.4932,8
2,5,100,0.5023,8
2,5,200,0.4743,8
2,5,300,0.487,8
2,10,100,0.5393,8
2,10,200,0.5037,8
2,10,300,0.5041,8
3,3,100,0.5105,8
3,3,200,0.4992,8
3,3,300,0.5005,8
3,5,100,0.5086,8
3,5,200,0.5018,8
3,5,300,0.503,8
3,10,100,0.5581,8
3,10,200,0.5043,8
3,10,300,0.5149,8
5,3,100,0.5141,8
5,3,200,0.4996,8
5,3,300,0.507,8
5,5,100,0.519,8
5,5,200,0.5055,8
5,5,300,0.5062,8
5,10,100,0.5692,8
5,10,200,0.5235,8
5,10,300,0.524,8
2,3,100,0.5658,9
2,3,200,0.5525,9
2,3,300,0.5582,9
2,5,100,0.5427,9
2,5,200,0.5399,9
2,5,300,0.5547,9
2,10,100,0.5423,9
2,10,200,0.5553,9
2,10,300,0.568,9
3,3,100,0.5651,9
3,3,200,0.5673,9
3,3,300,0.5487,9
3,5,100,0.5597,9
3,5,200,0.5682,9
3,5,300,0.5707,9
3,10,100,0.5472,9
3,10,200,0.5729,9
3,10,300,0.5719,9
5,3,100,0.5488,9
5,3,200,0.5653,9
5,3,300,0.5681,9
5,5,100,0.5632,9
5,5,200,0.5583,9
5,5,300,0.5578,9
5,10,100,0.5527,9
5,10,200,0.5756,9
5,10,300,0.5781,9
2,3,100,0.5325,10
2,3,200,0.5156,10
2,3,300,0.529,10
2,5,100,0.5521,10
2,5,200,0.529,10
2,5,300,0.5517,10
2,10,100,0.5923,10
2,10,200,0.5988,10
2,10,300,0.6068,10
3,3,100,0.5328,10
3,3,200,0.5355,10
3,3,300,0.5226,10
3,5,100,0.5602,10
3,5,200,0.5179,10
3,5,300,0.5512,10
3,10,100,0.5881,10
3,10,200,0.5943,10
3,10,300,0.6018,10
5,3,100,0.5392,10
5,3,200,0.5073,10
5,3,300,0.5034,10
5,5,100,0.5714,10
5,5,200,0.5307,10
5,5,300,0.5643,10
5,10,100,0.579,10
5,10,200,0.5943,10
5,10,300,0.6018,10
2,3,100,0.8435,11
2,3,200,0.8578,11
2,3,300,0.8684,11
2,5,100,0.8265,11
2,5,200,0.8456,11
2,5,300,0.8496,11
2,10,100,0.8097,11
2,10,200,0.8371,11
2,10,300,0.8347,11
3,3,100,0.841,11
3,3,200,0.864,11
3,3,300,0.8576,11
3,5,100,0.847,11
3,5,200,0.8595,11
3,5,300,0.8557,11
3,10,100,0.8157,11
3,10,200,0.8329,11
3,10,300,0.8347,11
5,3,100,0.8248,11
5,3,200,0.8472,11
5,3,300,0.8433,11
5,5,100,0.8262,11
5,5,200,0.8475,11
5,5,300,0.8498,11
5,10,100,0.8073,11
5,10,200,0.833,11
5,10,300,0.8285,11
2,3,100,0.842,12
2,3,200,0.8416,12
2,3,300,0.8416,12
2,5,100,0.8439,12
2,5,200,0.8416,12
2,5,300,0.832,12
2,10,100,0.8611,12
2,10,200,0.8615,12
2,10,300,0.8615,12
3,3,100,0.842,12
3,3,200,0.8416,12
3,3,300,0.8416,12
3,5,100,0.8439,12
3,5,200,0.8416,12
3,5,300,0.832,12
3,10,100,0.8611,12
3,10,200,0.8615,12
3,10,300,0.8615,12
5,3,100,0.842,12
5,3,200,0.8364,12
5,3,300,0.8416,12
5,5,100,0.8439,12
5,5,200,0.8416,12
5,5,300,0.832,12
5,10,100,0.8611,12
5,10,200,0.8615,12
5,10,300,0.8615,12
2,3,100,0.5937,13
2,3,200,0.6017,13
2,3,300,0.6079,13
2,5,100,0.6075,13
2,5,200,0.5923,13
2,5,300,0.6031,13
2,10,100,0.5766,13
2,10,200,0.6014,13
2,10,300,0.6155,13
3,3,100,0.5805,13
3,3,200,0.5702,13
3,3,300,0.5832,13
3,5,100,0.5942,13
3,5,200,0.5772,13
3,5,300,0.5821,13
3,10,100,0.5764,13
3,10,200,0.5881,13
3,10,300,0.5882,13
5,3,100,0.5832,13
5,3,200,0.5833,13
5,3,300,0.5948,13
5,5,100,0.5814,13
5,5,200,0.5841,13
5,5,300,0.5812,13
5,10,100,0.5764,13
5,10,200,0.5842,13
5,10,300,0.5882,13
2,3,100,0.4583,14
2,3,200,0.4444,14
2,3,300,0.4611,14
2,5,100,0.4507,14
2,5,200,0.4501,14
2,5,300,0.4528,14
2,10,100,0.435,14
2,10,200,0.4136,14
2,10,300,0.43,14
3,3,100,0.4483,14
3,3,200,0.4575,14
3,3,300,0.4761,14
3,5,100,0.4616,14
3,5,200,0.4587,14
3,5,300,0.4807,14
3,10,100,0.4617,14
3,10,200,0.4371,14
3,10,300,0.436,14
5,3,100,0.4727,14
5,3,200,0.4795,14
5,3,300,0.4908,14
5,5,100,0.4659,14
5,5,200,0.462,14
5,5,300,0.4959,14
5,10,100,0.4538,14
5,10,200,0.4397,14
5,10,300,0.4407,14
2,3,100,0.6115,15
2,3,200,0.5948,15
2,3,300,0.6049,15
