max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
1,10,30,0.5645,4
1,10,60,0.5895,4
1,10,100,0.5709,4
1,20,30,0.5888,4
1,20,60,0.5981,4
1,20,100,0.5847,4
1,30,30,0.6149,4
1,30,60,0.6302,4
1,30,100,0.6147,4
2,10,30,0.5907,4
2,10,60,0.6104,4
2,10,100,0.5899,4
2,20,30,0.5942,4
2,20,60,0.5955,4
2,20,100,0.5774,4
2,30,30,0.6149,4
2,30,60,0.6302,4
2,30,100,0.6147,4
3,10,30,0.6125,4
3,10,60,0.604,4
3,10,100,0.6026,4
3,20,30,0.5942,4
3,20,60,0.5955,4
3,20,100,0.5774,4
3,30,30,0.6149,4
3,30,60,0.6302,4
3,30,100,0.6147,4
1,10,30,0.3369,5
1,10,60,0.402,5
1,10,100,0.3925,5
1,20,30,0.2667,5
1,20,60,0.3333,5
1,20,100,0.3333,5
1,30,30,0.2667,5
1,30,60,0.3333,5
1,30,100,0.3333,5
2,10,30,0.3369,5
2,10,60,0.402,5
2,10,100,0.3925,5
2,20,30,0.3333,5
2,20,60,0.3333,5
2,20,100,0.3333,5
2,30,30,0.2667,5
2,30,60,0.3333,5
2,30,100,0.3333,5
3,10,30,0.3369,5
3,10,60,0.402,5
3,10,100,0.3925,5
3,20,30,0.2667,5
3,20,60,0.3333,5
3,20,100,0.3333,5
3,30,30,0.2667,5
3,30,60,0.3333,5
3,30,100,0.3333,5
1,10,30,0.5239,6
1,10,60,0.5468,6
1,10,100,0.5656,6
1,20,30,0.5544,6
1,20,60,0.5858,6
1,20,100,0.577,6
1,30,30,0.4997,6
1,30,60,0.5389,6
1,30,100,0.5381,6
2,10,30,0.5698,6
2,10,60,0.5672,6
2,10,100,0.5678,6
2,20,30,0.5668,6
2,20,60,0.592,6
2,20,100,0.572,6
2,30,30,0.4997,6
2,30,60,0.5389,6
2,30,100,0.5381,6
3,10,30,0.5552,6
3,10,60,0.5735,6
3,10,100,0.5734,6
3,20,30,0.5664,6
3,20,60,0.5917,6
3,20,100,0.5696,6
3,30,30,0.4997,6
3,30,60,0.5389,6
3,30,100,0.5381,6
1,10,30,0.7491,7
1,10,60,0.7538,7
1,10,100,0.761,7
1,20,30,0.6146,7
1,20,60,0.6704,7
1,20,100,0.6846,7
1,30,30,0.4698,7
1,30,60,0.5294,7
1,30,100,0.6064,7
2,10,30,0.7495,7
2,10,60,0.7651,7
2,10,100,0.7787,7
2,20,30,0.6223,7
2,20,60,0.6738,7
2,20,100,0.6921,7
2,30,30,0.4698,7
2,30,60,0.5294,7
2,30,100,0.6064,7
3,10,30,0.7607,7
3,10,60,0.7644,7
3,10,100,0.775,7
3,20,30,0.6223,7
3,20,60,0.6738,7
3,20,100,0.6921,7
3,30,30,0.4698,7
3,30,60,0.5294,7
3,30,100,0.6064,7
1,10,30,0.482,8
1,10,60,0.4994,8
1,10,100,0.4949,8
1,20,30,0.4537,8
1,20,60,0.4353,8
1,20,100,0.4607,8
1,30,30,0.4785,8
1,30,60,0.4709,8
1,30,100,0.4687,8
2,10,30,0.5144,8
2,10,60,0.5302,8
2,10,100,0.5393,8
2,20,30,0.4633,8
2,20,60,0.4313,8
2,20,100,0.4534,8
2,30,30,0.469,8
2,30,60,0.4704,8
2,30,100,0.4824,8
3,10,30,0.5225,8
3,10,60,0.5342,8
3,10,100,0.5581,8
3,20,30,0.4631,8
3,20,60,0.445,8
3,20,100,0.4609,8
3,30,30,0.469,8
3,30,60,0.4704,8
3,30,100,0.4824,8
1,10,30,0.5583,9
1,10,60,0.5823,9
1,10,100,0.5493,9
1,20,30,0.5005,9
1,20,60,0.4603,9
1,20,100,0.4419,9
1,30,30,0.4721,9
1,30,60,0.4196,9
1,30,100,0.414,9
2,10,30,0.5544,9
2,10,60,0.5439,9
2,10,100,0.5423,9
2,20,30,0.5198,9
2,20,60,0.4725,9
2,20,100,0.4621,9
2,30,30,0.4721,9
2,30,60,0.414,9
2,30,100,0.4084,9
3,10,30,0.553,9
3,10,60,0.5436,9
3,10,100,0.5472,9
3,20,30,0.5196,9
3,20,60,0.4725,9
3,20,100,0.4671,9
3,30,30,0.4721,9
3,30,60,0.414,9
3,30,100,0.4084,9
1,10,30,0.5272,10
1,10,60,0.5794,10
1,10,100,0.5594,10
1,20,30,0.5973,10
1,20,60,0.6113,10
1,20,100,0.5984,10
1,30,30,0.5333,10
1,30,60,0.5333,10
1,30,100,0.5333,10
2,10,30,0.5444,10
2,10,60,0.6093,10
2,10,100,0.5923,10
2,20,30,0.5973,10
2,20,60,0.6113,10
2,20,100,0.5984,10
2,30,30,0.5333,10
2,30,60,0.5333,10
2,30,100,0.5333,10
3,10,30,0.5512,10
3,10,60,0.595,10
3,10,100,0.5881,10
3,20,30,0.5973,10
3,20,60,0.6113,10
3,20,100,0.5984,10
3,30,30,0.5333,10
3,30,60,0.5333,10
3,30,100,0.5333,10
1,10,30,0.8041,11
1,10,60,0.7994,11
1,10,100,0.806,11
1,20,30,0.7385,11
1,20,60,0.7419,11
1,20,100,0.7558,11
1,30,30,0.6492,11
1,30,60,0.6693,11
1,30,100,0.6732,11
2,10,30,0.8182,11
2,10,60,0.828,11
2,10,100,0.8097,11
2,20,30,0.7504,11
2,20,60,0.7522,11
2,20,100,0.7555,11
2,30,30,0.6454,11
2,30,60,0.6548,11
2,30,100,0.6732,11
3,10,30,0.8078,11
3,10,60,0.828,11
3,10,100,0.8157,11
3,20,30,0.7507,11
3,20,60,0.748,11
3,20,100,0.7475,11
3,30,30,0.6454,11
3,30,60,0.6548,11
3,30,100,0.6732,11
1,10,30,0.8564,12
1,10,60,0.8497,12
1,10,100,0.8611,12
1,20,30,0.863,12
1,20,60,0.7233,12
1,20,100,0.8094,12
1,30,30,0.7333,12
1,30,60,0.6,12
1,30,100,0.6667,12
2,10,30,0.8564,12
2,10,60,0.8564,12
