Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|EI,Intra,NoNotch,NoArt,NoBurst,EI,0.4829609649503667,0.48920254579749994,0.006241580847133221,257.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.01988700962055928,0.9578450322151184,ns
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.668469605661838,0.8685612393944504,0.2000916337326124,257.6,2,Intra|NoNotch|NoArt|NoBurst|EI,0.18550864071147127,0.0030878782272338867,SIG
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.668469605661838,0.8685612393944504,0.2000916337326124,257.6,2,Intra|Notch|NoArt|NoBurst|RF,0.1282500410913584,0.00021690130233764648,SIG
Intra|Notch|NoArt|NoBurst|EI,Intra,Notch,NoArt,NoBurst,EI,0.502847974570926,0.510593783943417,0.00774580937249103,257.6,0,,,,
Intra|Notch|NoArt|NoBurst|RF,Intra,Notch,NoArt,NoBurst,RF,0.5402195645704796,0.7962627198862424,0.2560431553157628,257.6,1,Intra|Notch|NoArt|NoBurst|EI,0.03737158999955359,0.312333345413208,ns
Intra|Notch|Art|NoBurst|EI,Intra,Notch,Art,NoBurst,EI,0.49783299592100017,0.4931820907170901,-0.0046509052039100385,195.888,1,Intra|Notch|NoArt|NoBurst|EI,-0.005014978649925839,0.9158032536506653,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.5465007151125288,0.8192200314490031,0.2727193163364743,195.888,2,Intra|Notch|NoArt|NoBurst|RF,0.006281150542049252,0.6720751523971558,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.5465007151125288,0.8192200314490031,0.2727193163364743,195.888,2,Intra|Notch|Art|NoBurst|EI,0.04866771919152868,0.16449612379074097,ns
Intra|Notch|NoArt|Burst|EI,Intra,Notch,NoArt,Burst,EI,0.4910405071382718,0.5063655663171489,0.01532505917887711,254.4,1,Intra|Notch|NoArt|NoBurst|EI,-0.011807467432654206,0.12348527214454895,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.5541383153657534,0.8065394671703533,0.2524011518045999,254.4,2,Intra|Notch|NoArt|NoBurst|RF,0.013918750795273827,0.011718685599768632,SIG
