max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
1,10,30,0.586,4
1,10,60,0.6241,4
1,10,100,0.6249,4
1,20,30,0.5927,4
1,20,60,0.6242,4
1,20,100,0.6147,4
1,30,30,0.6456,4
1,30,60,0.6623,4
1,30,100,0.6612,4
2,10,30,0.6385,4
2,10,60,0.6127,4
2,10,100,0.6311,4
2,20,30,0.5856,4
2,20,60,0.617,4
2,20,100,0.6177,4
2,30,30,0.6456,4
2,30,60,0.6623,4
2,30,100,0.6612,4
3,10,30,0.6172,4
3,10,60,0.6245,4
3,10,100,0.6437,4
3,20,30,0.5856,4
3,20,60,0.617,4
3,20,100,0.6177,4
3,30,30,0.6456,4
3,30,60,0.6623,4
3,30,100,0.6612,4
1,10,30,0.3153,5
1,10,60,0.3623,5
1,10,100,0.3746,5
1,20,30,0.3333,5
1,20,60,0.3333,5
1,20,100,0.3333,5
1,30,30,0.2667,5
1,30,60,0.3333,5
1,30,100,0.3333,5
2,10,30,0.3153,5
2,10,60,0.3623,5
2,10,100,0.3746,5
2,20,30,0.2667,5
2,20,60,0.3333,5
2,20,100,0.3333,5
2,30,30,0.2667,5
2,30,60,0.3333,5
2,30,100,0.3333,5
3,10,30,0.3153,5
3,10,60,0.3623,5
3,10,100,0.3746,5
3,20,30,0.2667,5
3,20,60,0.3333,5
3,20,100,0.3333,5
3,30,30,0.2667,5
3,30,60,0.3333,5
3,30,100,0.3333,5
1,10,30,0.5331,6
1,10,60,0.5536,6
1,10,100,0.5443,6
1,20,30,0.5661,6
1,20,60,0.5645,6
1,20,100,0.5688,6
1,30,30,0.5284,6
1,30,60,0.5349,6
1,30,100,0.539,6
2,10,30,0.5672,6
2,10,60,0.5793,6
2,10,100,0.5604,6
2,20,30,0.5712,6
2,20,60,0.5661,6
2,20,100,0.5605,6
2,30,30,0.5284,6
2,30,60,0.5314,6
2,30,100,0.539,6
3,10,30,0.558,6
3,10,60,0.5567,6
3,10,100,0.5644,6
3,20,30,0.5768,6
3,20,60,0.5661,6
3,20,100,0.5605,6
3,30,30,0.5284,6
3,30,60,0.5314,6
3,30,100,0.539,6
1,10,30,0.7921,7
1,10,60,0.8096,7
1,10,100,0.8139,7
1,20,30,0.6339,7
1,20,60,0.6998,7
1,20,100,0.7075,7
1,30,30,0.4918,7
1,30,60,0.5585,7
1,30,100,0.6177,7
2,10,30,0.7919,7
2,10,60,0.7973,7
2,10,100,0.7977,7
2,20,30,0.6373,7
2,20,60,0.6998,7
2,20,100,0.7075,7
2,30,30,0.4918,7
2,30,60,0.5585,7
2,30,100,0.6177,7
3,10,30,0.7963,7
3,10,60,0.7973,7
3,10,100,0.8021,7
3,20,30,0.6373,7
3,20,60,0.6998,7
3,20,100,0.7075,7
3,30,30,0.4918,7
3,30,60,0.5585,7
3,30,100,0.6177,7
1,10,30,0.5148,8
1,10,60,0.5167,8
1,10,100,0.5315,8
1,20,30,0.4758,8
1,20,60,0.4441,8
1,20,100,0.4904,8
1,30,30,0.4578,8
1,30,60,0.4753,8
1,30,100,0.4636,8
2,10,30,0.4891,8
2,10,60,0.5198,8
2,10,100,0.5198,8
2,20,30,0.4703,8
2,20,60,0.4621,8
2,20,100,0.49,8
2,30,30,0.4535,8
2,30,60,0.4771,8
2,30,100,0.4667,8
3,10,30,0.5311,8
3,10,60,0.5254,8
3,10,100,0.516,8
3,20,30,0.4756,8
3,20,60,0.4603,8
3,20,100,0.4856,8
3,30,30,0.4535,8
3,30,60,0.4771,8
3,30,100,0.4667,8
1,10,30,0.6661,9
1,10,60,0.6604,9
1,10,100,0.6598,9
1,20,30,0.6039,9
1,20,60,0.5594,9
1,20,100,0.5444,9
1,30,30,0.5369,9
1,30,60,0.4746,9
1,30,100,0.4882,9
2,10,30,0.6537,9
2,10,60,0.6702,9
2,10,100,0.677,9
2,20,30,0.5724,9
2,20,60,0.509,9
2,20,100,0.5174,9
2,30,30,0.5397,9
2,30,60,0.4721,9
2,30,100,0.4794,9
3,10,30,0.6536,9
3,10,60,0.6631,9
3,10,100,0.6607,9
3,20,30,0.5808,9
3,20,60,0.5182,9
3,20,100,0.5201,9
3,30,30,0.5397,9
3,30,60,0.4721,9
3,30,100,0.4794,9
1,10,30,0.5826,10
1,10,60,0.6031,10
1,10,100,0.6318,10
1,20,30,0.5871,10
1,20,60,0.6211,10
1,20,100,0.5904,10
1,30,30,0.5333,10
1,30,60,0.5333,10
1,30,100,0.5333,10
2,10,30,0.565,10
2,10,60,0.5807,10
2,10,100,0.5965,10
2,20,30,0.5871,10
2,20,60,0.6211,10
2,20,100,0.5904,10
2,30,30,0.5333,10
2,30,60,0.5333,10
2,30,100,0.5333,10
3,10,30,0.5915,10
3,10,60,0.5901,10
3,10,100,0.5978,10
3,20,30,0.5871,10
3,20,60,0.6211,10
3,20,100,0.5904,10
3,30,30,0.5333,10
3,30,60,0.5333,10
3,30,100,0.5333,10
1,10,30,0.8986,11
1,10,60,0.9006,11
1,10,100,0.9049,11
1,20,30,0.8036,11
1,20,60,0.8094,11
1,20,100,0.8256,11
1,30,30,0.7315,11
1,30,60,0.76,11
1,30,100,0.7539,11
2,10,30,0.9132,11
2,10,60,0.901,11
2,10,100,0.9009,11
2,20,30,0.7976,11
2,20,60,0.8074,11
2,20,100,0.8196,11
2,30,30,0.7255,11
2,30,60,0.758,11
2,30,100,0.7559,11
3,10,30,0.9055,11
3,10,60,0.9032,11
3,10,100,0.9009,11
3,20,30,0.7936,11
3,20,60,0.8055,11
3,20,100,0.8196,11
3,30,30,0.7255,11
3,30,60,0.758,11
3,30,100,0.7559,11
1,10,30,0.8564,12
1,10,60,0.8516,12
1,10,100,0.8611,12
1,20,30,0.8913,12
1,20,60,0.7389,12
1,20,100,0.8059,12
1,30,30,0.7333,12
1,30,60,0.6,12
1,30,100,0.6667,12
2,10,30,0.8564,12
2,10,60,0.8516,12
2,10,100,0.871,12
2,20,30,0.8913,12
2,20,60,0.7389,12
2,20,100,0.8059,12
2,30,30,0.7333,12
2,30,60,0.6,12
2,30,100,0.6667,12
3,10,30,0.8564,12
3,10,60,0.8516,12
3,10,100,0.871,12
3,20,30,0.8913,12
3,20,60,0.7389,12
3,20,100,0.8059,12
3,30,30,0.7333,12
3,30,60,0.6,12
3,30,100,0.6667,12
1,10,30,0.6772,13
1,10,60,0.7107,13
1,10,100,0.7315,13
1,20,30,0.6516,13
1,20,60,0.6737,13
1,20,100,0.7511,13
1,30,30,0.477,13
1,30,60,0.4491,13
1,30,100,0.5876,13
2,10,30,0.6708,13
2,10,60,0.6914,13
2,10,100,0.693,13
2,20,30,0.6477,13
2,20,60,0.6454,13
2,20,100,0.728,13
2,30,30,0.477,13
2,30,60,0.4491,13
2,30,100,0.5876,13
3,10,30,0.6705,13
3,10,60,0.6835,13
3,10,100,0.6821,13
3,20,30,0.6477,13
3,20,60,0.6454,13
3,20,100,0.728,13
3,30,30,0.477,13
3,30,60,0.5158,13
3,30,100,0.5876,13
1,10,30,0.3795,14
1,10,60,0.3761,14
1,10,100,0.3958,14
1,20,30,0.321,14
1,20,60,0.3156,14
1,20,100,0.3235,14
1,30,30,0.3149,14
1,30,60,0.3316,14
1,30,100,0.3355,14
2,10,30,0.4319,14
2,10,60,0.4481,14
2,10,100,0.4388,14
2,20,30,0.3244,14
2,20,60,0.3416,14
2,20,100,0.3387,14
2,30,30,0.3166,14
2,30,60,0.3375,14
2,30,100,0.3314,14
3,10,30,0.4356,14
3,10,60,0.4522,14
3,10,100,0.4484,14
3,20,30,0.3287,14
3,20,60,0.3427,14
3,20,100,0.3451,14
3,30,30,0.3166,14
3,30,60,0.3375,14
3,30,100,0.3314,14
1,10,30,0.6928,15
1,10,60,0.7046,15
1,10,100,0.6806,15
1,20,30,0.518,15
1,20,60,0.5335,15
1,20,100,0.501,15
1,30,30,0.4461,15
1,30,60,0.4319,15
1,30,100,0.4052,15
2,10,30,0.7158,15
2,10,60,0.6972,15
