Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|EI,Intra,NoNotch,NoArt,NoBurst,EI,0.5292285117459066,0.522732242259345,-0.006496269486561568,257.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.0025082868984731554,0.8192020334011836,ns
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.7521684412503308,0.8888240389259312,0.13665559767560043,257.6,2,Intra|NoNotch|NoArt|NoBurst|EI,0.2229399295044242,0.00018787384033203125,SIG
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.7521684412503308,0.8888240389259312,0.13665559767560043,257.6,2,Intra|Notch|NoArt|NoBurst|RF,0.21156148280998133,1.1324882507324219e-06,SIG
Intra|Notch|NoArt|NoBurst|EI,Intra,Notch,NoArt,NoBurst,EI,0.5317367986443797,0.5351825657690573,0.00344576712467759,257.6,0,,,,
Intra|Notch|NoArt|NoBurst|RF,Intra,Notch,NoArt,NoBurst,RF,0.5406069584403494,0.7718596818410424,0.23125272340069292,257.6,1,Intra|Notch|NoArt|NoBurst|EI,0.008870159795969723,0.8325093984603882,ns
Intra|Notch|Art|NoBurst|EI,Intra,Notch,Art,NoBurst,EI,0.5434525279343498,0.5535189863054235,0.010066458371073672,195.888,1,Intra|Notch|NoArt|NoBurst|EI,0.011715729289970112,0.507703959941864,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.5465046169246648,0.7937174302643464,0.2472128133396816,195.888,2,Intra|Notch|NoArt|NoBurst|RF,0.005897658484315338,0.5964998602867126,ns
Intra|Notch|Art|NoBurst|RF,Intra,Notch,Art,NoBurst,RF,0.5465046169246648,0.7937174302643464,0.2472128133396816,195.888,2,Intra|Notch|Art|NoBurst|EI,0.0030520889903149495,0.978915274143219,ns
Intra|Notch|NoArt|Burst|EI,Intra,Notch,NoArt,Burst,EI,0.5334738515173041,0.5366778851584767,0.00320403364117261,254.4,1,Intra|Notch|NoArt|NoBurst|EI,0.0017370528729243606,0.20757844233562428,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.5545607459675113,0.7861735929044693,0.23161284693695805,254.4,2,Intra|Notch|NoArt|NoBurst|RF,0.01395378752716181,0.0687035743228782,ns
Intra|Notch|NoArt|Burst|RF,Intra,Notch,NoArt,Burst,RF,0.5545607459675113,0.7861735929044693,0.23161284693695805,254.4,2,Intra|Notch|NoArt|Burst|EI,0.021086894450207172,0.6720751523971558,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.5485330036012686,0.5556075537558298,0.0070745501545612655,194.832,2,Intra|Notch|Art|NoBurst|EI,0.005080475666918716,0.2626182904425206,ns
Intra|Notch|Art|Burst|EI,Intra,Notch,Art,Burst,EI,0.5485330036012686,0.5556075537558298,0.0070745501545612655,194.832,2,Intra|Notch|NoArt|Burst|EI,0.015059152083964467,0.5782062411308289,ns
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.5631774598213197,0.8069089430753169,0.24373148325399718,194.832,3,Intra|Notch|Art|NoBurst|RF,0.016672842896654938,0.011718685599768632,SIG
Intra|Notch|Art|Burst|RF,Intra,Notch,Art,Burst,RF,0.5631774598213197,0.8069089430753169,0.24373148325399718,194.832,3,Intra|Notch|NoArt|Burst|RF,0.008616713853808466,0.5249125957489014,ns
