scale,notch,art,burst,model,combination,pid,test_recall,train_recall,test_f1,train_f1,test_accuracy,train_accuracy,test_n
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,4,0.4125326797385621,0.46631891692432975,0.34998310559363194,0.43936210470201964,0.5018545751633987,0.526044966980952,170.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,5,0.7866666666666666,0.7683333333333333,0.5944418849124732,0.5987346962201257,0.5199999999999999,0.5233333333333333,60.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,6,0.5496103896103897,0.5045581395348837,0.5001909441811649,0.5041140463309463,0.5103896103896105,0.5147414500683996,214.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,7,0.24522875816993467,0.2631055900621118,0.25983426678058125,0.296524240793994,0.4905228758169935,0.5056935817805382,174.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,8,0.49142857142857144,0.4935714285714286,0.4590339591161464,0.5001675953251385,0.5064285714285715,0.5114285714285713,280.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,9,0.8591304347826088,0.8739130434782609,0.614333437037873,0.6243570904934032,0.5017391304347826,0.49782608695652175,230.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,10,0.5272380952380953,0.5359830611010284,0.4527091195068852,0.5258668869956195,0.4704761904761905,0.5201391409558378,144.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,11,0.4612903225806452,0.4646144231971003,0.4321336050581498,0.5048783058521471,0.5224395161290322,0.5462129733783276,316.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,12,0.8603636363636363,0.8455609756097561,0.6466102274537058,0.6315982596570746,0.5521818181818181,0.5585,102.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,13,0.7574269005847954,0.7585513513513513,0.5383097722764758,0.5491854012809496,0.5136842105263157,0.5129009009009009,186.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,14,0.6682666666666668,0.6894989898989901,0.5508140816315331,0.5914529825639172,0.5161999999999999,0.5334505050505051,248.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,15,0.6204347826086957,0.539377716769618,0.49300198366030684,0.49847183546559554,0.5067391304347827,0.5215648592999313,234.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,17,0.468094276094276,0.4874011753265971,0.45735342617536867,0.49369110067382227,0.46819528619528616,0.512044983722995,544.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,18,0.19056410256410258,0.20076755623639442,0.1903232467476035,0.22808697738885603,0.5091923076923076,0.505459969362251,394.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,20,0.4749621848739495,0.47419257322471176,0.40923215878568325,0.41412949076408345,0.49057247899159667,0.5002961510371904,338.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,21,0.5216842105263158,0.5433037974683544,0.4518124070319054,0.5266594764935298,0.5205789473684211,0.5249651898734177,198.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,22,0.48,0.4642857142857143,0.4431008805775317,0.4721461526165559,0.49142857142857144,0.5264285714285715,140.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,23,0.4947560975609756,0.48499844720496893,0.4145904089259774,0.4194381586042417,0.48048780487804876,0.5060892857142857,402.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,24,0.3988372093023256,0.36561690253139323,0.3852240570302442,0.37707952847914306,0.5086892177589852,0.506461364693376,434.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,25,0.5951827956989246,0.5828842975206612,0.4525287473528632,0.4417898855981444,0.5125161290322581,0.5059421487603306,302.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,26,0.3565,0.3384769962982549,0.36736703364358647,0.37385623714532146,0.5277499999999999,0.5220782654680063,154.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,27,0.5971076923076923,0.59567865981344,0.41943200739160613,0.4230668322521593,0.48886153846153846,0.5044774414620217,256.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,28,0.5348664343786296,0.3839622923836601,0.44475864852118513,0.40887328390011807,0.49902439024390244,0.5124658949210797,410.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,30,0.42932806324110667,0.4493583021223471,0.29821530211082453,0.3221990723841486,0.48818181818181816,0.5049088639200998,224.0
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,31,0.44921182266009857,0.49399237223493514,0.39954113104021965,0.5006772333944042,0.5086945812807883,0.5097559115179253,286.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,4,0.5126307189542484,0.7289292667099285,0.5016563247786042,0.7312689863960958,0.5309967320261437,0.7310230815233296,170.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,5,0.5733333333333334,0.8666666666666666,0.5054249084249084,0.8798893650431575,0.5866666666666667,0.8825,60.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,6,0.5857142857142856,0.8920875512995895,0.5261939607868799,0.8409602325911492,0.4912554112554113,0.8315047879616964,214.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,7,0.8109803921568627,0.8781614906832299,0.8262562220546272,0.890865317897714,0.828888888888889,0.8925341614906832,174.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,8,0.6142857142857142,0.8007142857142858,0.5403235629801051,0.7317937521856284,0.5371428571428571,0.7076785714285715,280.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,9,0.8417391304347828,0.9434782608695652,0.7116334675238006,0.8608416602920557,0.6617391304347826,0.846086956521739,230.0
Intra,NoNotch,NoArt,NoBurst,RF,Intra|NoNotch|NoArt|NoBurst|RF,10,0.5499047619047619,0.7933091349062311,0.5204351961680242,0.7914476987234671,0.5442857142857143,0.7911070780399274,144.0
