Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|EI,Intra,NoNotch,NoArt,NoBurst,EI,0.5576774329562972,0.5536029961818505,-0.004074436774446744,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,0.004759044933450807,0.7533040472859123,ns
Intra|NoNotch|NoArt|NoBurst|Best Feature LR,Intra,NoNotch,NoArt,NoBurst,Best Feature LR,0.4864187468897569,0.5338027866471734,0.04738403975741651,3259.6,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.07125868606654034,0.13364005088806152,ns
Intra|NoNotch|NoArt|NoBurst|Best Feature LR,Intra,NoNotch,NoArt,NoBurst,Best Feature LR,0.4864187468897569,0.5338027866471734,0.04738403975741651,3259.6,2,Intra|Notch|NoArt|NoBurst|Best Feature LR,-0.00019758724777729775,0.6001794871405538,ns
Intra|NoNotch|NoArt|NoBurst|LR,Intra,NoNotch,NoArt,NoBurst,LR,0.47095797201863027,0.8270823641930879,0.3561243921744576,3259.6,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.08671946093766697,0.03933870792388916,SIG
Intra|NoNotch|NoArt|NoBurst|LR,Intra,NoNotch,NoArt,NoBurst,LR,0.47095797201863027,0.8270823641930879,0.3561243921744576,3259.6,2,Intra|Notch|NoArt|NoBurst|LR,0.0009120337761704955,1.0,ns
Intra|Notch|NoArt|NoBurst|EI,Intra,Notch,NoArt,NoBurst,EI,0.5529183880228464,0.5501745802929453,-0.0027438077299011265,3259.6,0,,,,
Intra|Notch|NoArt|NoBurst|Best Feature LR,Intra,Notch,NoArt,NoBurst,Best Feature LR,0.4866163341375342,0.5346645941497046,0.048048260012170385,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.06630205388531224,0.17295855283737183,ns
Intra|Notch|NoArt|NoBurst|LR,Intra,Notch,NoArt,NoBurst,LR,0.47004593824245977,0.8305636774279922,0.3605177391855324,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,-0.08287244978038666,0.06670159101486206,ns
Intra|Notch|Art|NoBurst|EI,Intra,Notch,Art,NoBurst,EI,0.5577105669370993,0.5576029590727248,-0.00010760786437447045,2510.0,1,Intra|Notch|NoArt|NoBurst|EI,0.004792178914252876,0.9578450322151184,ns
Intra|Notch|Art|NoBurst|Best Feature LR,Intra,Notch,Art,NoBurst,Best Feature LR,0.5255227720486846,0.5375485708088995,0.012025798760214923,2510.0,2,Intra|Notch|NoArt|NoBurst|Best Feature LR,0.03890643791115039,0.4741646647453308,ns
Intra|Notch|Art|NoBurst|Best Feature LR,Intra,Notch,Art,NoBurst,Best Feature LR,0.5255227720486846,0.5375485708088995,0.012025798760214923,2510.0,2,Intra|Notch|Art|NoBurst|EI,-0.03218779488841472,0.5601714849472046,ns
Intra|Notch|Art|NoBurst|LR,Intra,Notch,Art,NoBurst,LR,0.47265913412011434,0.8659380542258788,0.39327892010576443,2510.0,2,Intra|Notch|NoArt|NoBurst|LR,0.0026131958776545727,0.15633821487426758,ns
Intra|Notch|Art|NoBurst|LR,Intra,Notch,Art,NoBurst,LR,0.47265913412011434,0.8659380542258788,0.39327892010576443,2510.0,2,Intra|Notch|Art|NoBurst|EI,-0.08505143281698496,0.04826241731643677,SIG
Intra|Notch|NoArt|Burst|EI,Intra,Notch,NoArt,Burst,EI,0.5529183880228464,0.5501745802929453,-0.0027438077299011265,3259.6,1,Intra|Notch|NoArt|NoBurst|EI,0.0,,ns
Intra|Notch|NoArt|Burst|Best Feature LR,Intra,Notch,NoArt,Burst,Best Feature LR,0.4866163341375342,0.5346645941497046,0.048048260012170385,3259.6,2,Intra|Notch|NoArt|NoBurst|Best Feature LR,0.0,,ns
