max_depth,min_samples_leaf,n_estimators,mean_inner_recall,pid
1,10,30,0.4852,4
1,10,60,0.4815,4
1,10,100,0.4697,4
1,20,30,0.4729,4
1,20,60,0.4736,4
1,20,100,0.462,4
1,30,30,0.479,4
1,30,60,0.4755,4
1,30,100,0.4718,4
2,10,30,0.5139,4
2,10,60,0.5106,4
2,10,100,0.4937,4
2,20,30,0.5092,4
2,20,60,0.5006,4
2,20,100,0.502,4
2,30,30,0.4963,4
2,30,60,0.4824,4
2,30,100,0.4907,4
3,10,30,0.5169,4
3,10,60,0.5288,4
3,10,100,0.5187,4
3,20,30,0.5223,4
3,20,60,0.5091,4
3,20,100,0.5125,4
3,30,30,0.4991,4
3,30,60,0.4941,4
3,30,100,0.4937,4
1,10,30,0.497,5
1,10,60,0.5092,5
1,10,100,0.5153,5
1,20,30,0.3994,5
1,20,60,0.3777,5
1,20,100,0.3648,5
1,30,30,0.274,5
1,30,60,0.3675,5
1,30,100,0.3642,5
2,10,30,0.5188,5
2,10,60,0.5379,5
2,10,100,0.5517,5
2,20,30,0.4125,5
2,20,60,0.4027,5
2,20,100,0.3753,5
2,30,30,0.274,5
2,30,60,0.3675,5
2,30,100,0.3642,5
3,10,30,0.503,5
3,10,60,0.5467,5
3,10,100,0.558,5
3,20,30,0.4125,5
3,20,60,0.4027,5
3,20,100,0.3753,5
3,30,30,0.3406,5
3,30,60,0.3675,5
3,30,100,0.3642,5
1,10,30,0.5471,6
1,10,60,0.5617,6
1,10,100,0.5825,6
1,20,30,0.5627,6
1,20,60,0.564,6
1,20,100,0.5884,6
1,30,30,0.5365,6
1,30,60,0.5602,6
1,30,100,0.5741,6
2,10,30,0.5534,6
2,10,60,0.5576,6
2,10,100,0.5756,6
2,20,30,0.5423,6
2,20,60,0.561,6
2,20,100,0.5703,6
2,30,30,0.5376,6
2,30,60,0.5728,6
2,30,100,0.5733,6
3,10,30,0.5711,6
3,10,60,0.5718,6
3,10,100,0.5847,6
3,20,30,0.535,6
3,20,60,0.5572,6
3,20,100,0.5731,6
3,30,30,0.5438,6
3,30,60,0.5684,6
3,30,100,0.5672,6
1,10,30,0.3968,7
1,10,60,0.389,7
1,10,100,0.3898,7
1,20,30,0.3886,7
1,20,60,0.3821,7
1,20,100,0.384,7
1,30,30,0.3925,7
1,30,60,0.3844,7
1,30,100,0.3675,7
2,10,30,0.4365,7
2,10,60,0.4553,7
2,10,100,0.4468,7
2,20,30,0.4143,7
2,20,60,0.4312,7
2,20,100,0.4418,7
2,30,30,0.4163,7
2,30,60,0.4235,7
2,30,100,0.4141,7
3,10,30,0.457,7
3,10,60,0.4832,7
3,10,100,0.4796,7
3,20,30,0.4369,7
3,20,60,0.4445,7
3,20,100,0.4509,7
3,30,30,0.4325,7
3,30,60,0.4305,7
3,30,100,0.4104,7
1,10,30,0.4647,8
1,10,60,0.486,8
1,10,100,0.4957,8
1,20,30,0.4534,8
1,20,60,0.47,8
1,20,100,0.4902,8
1,30,30,0.4462,8
1,30,60,0.4666,8
1,30,100,0.4927,8
2,10,30,0.4862,8
2,10,60,0.5085,8
2,10,100,0.5086,8
2,20,30,0.5034,8
2,20,60,0.4982,8
2,20,100,0.5028,8
2,30,30,0.4845,8
2,30,60,0.4791,8
2,30,100,0.4928,8
3,10,30,0.4976,8
3,10,60,0.515,8
3,10,100,0.5223,8
3,20,30,0.498,8
3,20,60,0.4962,8
3,20,100,0.5039,8
3,30,30,0.4834,8
3,30,60,0.4913,8
3,30,100,0.5016,8
1,10,30,0.4198,9
1,10,60,0.4224,9
1,10,100,0.4228,9
1,20,30,0.4301,9
1,20,60,0.4225,9
1,20,100,0.4351,9
1,30,30,0.4136,9
1,30,60,0.4145,9
1,30,100,0.4123,9
2,10,30,0.4661,9
2,10,60,0.4669,9
2,10,100,0.4705,9
2,20,30,0.4571,9
2,20,60,0.4568,9
2,20,100,0.4645,9
2,30,30,0.4443,9
2,30,60,0.4561,9
2,30,100,0.4625,9
3,10,30,0.4819,9
3,10,60,0.4934,9
3,10,100,0.4922,9
3,20,30,0.4739,9
3,20,60,0.4917,9
3,20,100,0.4842,9
3,30,30,0.4556,9
3,30,60,0.4762,9
3,30,100,0.4806,9
1,10,30,0.5721,10
1,10,60,0.5969,10
1,10,100,0.5935,10
1,20,30,0.5523,10
