scale,notch,art,burst,model,combination,pid,test_recall,train_recall,test_f1,train_f1,test_accuracy,train_accuracy,test_n,test_cm,train_cm,dummy_test_cm,dummy_train_cm
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,4,0.47015714285714283,0.5471486386452077,0.4221501883613367,0.5239394998047456,0.4500727891156462,0.5108300823195091,494.0,"[[1567, 2138], [1964, 1741]]","[[6987, 7833], [6653, 8167]]","[[1647, 2058], [1631, 2074]]","[[7388, 7432], [7054, 7766]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,5,0.3790643274853801,0.49790447982228797,0.35355669756800906,0.5012734308512492,0.46415204678362576,0.5168715290633099,184.0,"[[5025, 6235], [6122, 5138]]","[[21675, 23365], [20631, 24409]]","[[4991, 6269], [5052, 6208]]","[[22020, 23020], [21537, 23503]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,6,0.5772941166595318,0.5906683404586086,0.4852419979206409,0.5531928954406646,0.5097185498560433,0.5244385101697111,622.0,"[[11005, 13395], [12801, 11599]]","[[46855, 50745], [44073, 53527]]","[[10861, 13539], [10990, 13410]]","[[47338, 50262], [46802, 50798]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,7,0.42561296859169195,0.42014123732834124,0.450757461308405,0.45533924057859093,0.4914520914748879,0.501373973036139,476.0,"[[20347, 23873], [22844, 21376]]","[[86039, 90841], [80891, 95989]]","[[19684, 24536], [19853, 24367]]","[[85759, 91121], [85064, 91816]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,8,0.7936358024691359,0.7751144725534429,0.5746727931930633,0.5675826932690674,0.491712962962963,0.5115619769236027,800.0,"[[32131, 40289], [35438, 36982]]","[[136452, 153228], [128326, 161354]]","[[32361, 40059], [32467, 39953]]","[[140576, 149104], [140161, 149519]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,9,0.5826772554340597,0.5941936611435507,0.5425734625371496,0.5494491145673475,0.5160934631654561,0.5154482696251994,674.0,"[[46984, 62691], [50982, 58693]]","[[199938, 238762], [187720, 250980]]","[[49166, 60509], [49078, 60597]]","[[212990, 225710], [213317, 225383]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,10,0.6280442967884828,0.5155817806470985,0.5179092448646211,0.5140392584880332,0.47113547434477665,0.5113832107199159,436.0,"[[64440, 89130], [69225, 84345]]","[[275889, 338391], [259044, 355236]]","[[68846, 84724], [68719, 84851]]","[[298365, 315915], [299317, 314963]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,11,0.6172473047471234,0.6211774326574439,0.5716500319528126,0.5851758633776865,0.558756887106289,0.5596219436706902,842.0,"[[85588, 120372], [90600, 115360]]","[[369740, 455780], [344835, 480685]]","[[92493, 113467], [92313, 113647]]","[[401348, 424172], [403002, 422518]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,12,0.4588269794721408,0.5085516066589237,0.4545188555784231,0.5501527834138181,0.5690224828934506,0.5846757723577236,312.0,"[[110408, 154492], [114802, 150098]]","[[478751, 585329], [442010, 622070]]","[[119185, 145715], [118931, 145969]]","[[517634, 546446], [520119, 543961]]"
Intra,NoNotch,NoArt,NoBurst,EI,Intra|NoNotch|NoArt|NoBurst|EI,13,0.5092950558213716,0.5297715572715573,0.4905358112207946,0.5092083464442796,0.49788197767145137,0.505385296010296,558.0,"[[138248, 191337], [141820, 187765]]","[[599523, 726097], [549725, 775895]]","[[148530, 181055], [148114, 181471]]","[[644885, 680735], [648443, 677177]]"
