Combination,Scale,Notch,Artifact_Filter,Burst_Filter,Model,Test_Recall,Train_Recall,Train_Test_Delta,Test_N,Diff_from_Baseline,Compared_To,Delta,Wilcoxon_p,Significant
Intra|NoNotch|NoArt|NoBurst|RF,Intra,NoNotch,NoArt,NoBurst,RF,0.45334624032340703,0.7292657210914217,0.2759194807680147,651.92,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.02149504665883356,0.6915188431739807,ns
Intra|NoNotch|NoArt|NoBurst|AF7_high_gamma_mean_LR,Intra,NoNotch,NoArt,NoBurst,AF7_high_gamma_mean_LR,0.5022312227789872,0.540757890399897,0.03852666762090973,651.92,2,Intra|NoNotch|NoArt|NoBurst|EI,0.027389935796746645,0.4107651710510254,ns
Intra|NoNotch|NoArt|NoBurst|AF8_delta_peakfreq_LR,Intra,NoNotch,NoArt,NoBurst,AF8_delta_peakfreq_LR,0.4708798449601946,0.8271616695549743,0.3562818245947797,651.92,2,Intra|NoNotch|NoArt|NoBurst|EI,-0.003961442022046013,0.7711594104766846,ns
Intra|NoNotch|NoArt|NoBurst|TP10_raw_std_LR,Intra,NoNotch,NoArt,NoBurst,TP10_raw_std_LR,0.4864187468897569,0.5338027866471734,0.04738403975741651,651.92,2,Intra|NoNotch|NoArt|NoBurst|EI,0.011577459907516297,0.6915188431739807,ns
Inter|NoNotch|NoArt|NoBurst|EI,Inter,NoNotch,NoArt,NoBurst,EI,0.8920857575843121,0.847629389197178,-0.04445636838713407,651.92,2,Intra|NoNotch|NoArt|NoBurst|EI,0.4172444706020715,4.5418739318847656e-05,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.835182692259139,0.8577818421778415,0.022599149918702488,651.92,3,Intra|NoNotch|NoArt|NoBurst|RF,0.38183645193573196,5.960464477539063e-08,SIG
Inter|NoNotch|NoArt|NoBurst|RF,Inter,NoNotch,NoArt,NoBurst,RF,0.835182692259139,0.8577818421778415,0.022599149918702488,651.92,3,Inter|NoNotch|NoArt|NoBurst|EI,-0.056903065325173086,0.023649930953979492,SIG
Inter|NoNotch|NoArt|NoBurst|AF7_high_gamma_mean_LR,Inter,NoNotch,NoArt,NoBurst,AF7_high_gamma_mean_LR,0.5805752407980549,0.5912519522768824,0.010676711478827539,651.92,3,Intra|NoNotch|NoArt|NoBurst|AF7_high_gamma_mean_LR,0.07834401801906765,0.3809836506843567,ns
Inter|NoNotch|NoArt|NoBurst|AF7_high_gamma_mean_LR,Inter,NoNotch,NoArt,NoBurst,AF7_high_gamma_mean_LR,0.5805752407980549,0.5912519522768824,0.010676711478827539,651.92,3,Inter|NoNotch|NoArt|NoBurst|EI,-0.3115105167862572,0.002699796063260186,SIG
Inter|NoNotch|NoArt|NoBurst|AF8_delta_peakfreq_LR,Inter,NoNotch,NoArt,NoBurst,AF8_delta_peakfreq_LR,0.5455997372968411,0.5960856766902206,0.05048593939337953,651.92,3,Intra|NoNotch|NoArt|NoBurst|AF8_delta_peakfreq_LR,0.0747198923366465,0.2996123433113098,ns
Inter|NoNotch|NoArt|NoBurst|AF8_delta_peakfreq_LR,Inter,NoNotch,NoArt,NoBurst,AF8_delta_peakfreq_LR,0.5455997372968411,0.5960856766902206,0.05048593939337953,651.92,3,Inter|NoNotch|NoArt|NoBurst|EI,-0.346486020287471,5.245208740234375e-06,SIG
Inter|NoNotch|NoArt|NoBurst|TP10_raw_std_LR,Inter,NoNotch,NoArt,NoBurst,TP10_raw_std_LR,0.5104188785918639,0.481285326739944,-0.029133551851919848,651.92,3,Intra|NoNotch|NoArt|NoBurst|TP10_raw_std_LR,0.024000131702106964,0.7111607789993286,ns
Inter|NoNotch|NoArt|NoBurst|TP10_raw_std_LR,Inter,NoNotch,NoArt,NoBurst,TP10_raw_std_LR,0.5104188785918639,0.481285326739944,-0.029133551851919848,651.92,3,Inter|NoNotch|NoArt|NoBurst|EI,-0.3816668789924482,0.00011214112045483085,SIG
