Rank,Feature,Mean Gini,SD,Electrode,Band
1,TP9_delta_macrofreq,0.024752,0.020093,TP9,delta
2,TP9_low_gamma_peakfreq,0.022775,0.022693,TP9,low_gamma
3,TP10_delta_macrofreq,0.022532,0.01703,TP10,delta
4,TP10_low_gamma_peakfreq,0.021896,0.024836,TP10,low_gamma
5,TP10_theta_macrofreq,0.021057,0.017689,TP10,theta
6,AF8_theta_macrofreq,0.019222,0.014125,AF8,theta
7,AF7_delta_macrofreq,0.018655,0.01399,AF7,delta
8,TP9_theta_macrofreq,0.01829,0.014122,TP9,theta
9,TP10_alpha_macrofreq,0.016259,0.01523,TP10,alpha
10,AF8_delta_macrofreq,0.014255,0.010789,AF8,delta
11,TP10_very_high_macrofreq,0.013548,0.016013,TP10,very_high
12,AF7_theta_macrofreq,0.013543,0.009713,AF7,theta
13,TP9_very_high_macrofreq,0.0132,0.017189,TP9,very_high
14,AF8_alpha_macrofreq,0.012164,0.01087,AF8,alpha
15,TP9_alpha_macrofreq,0.01215,0.009972,TP9,alpha
16,AF7_low_gamma_peakfreq,0.010074,0.014822,AF7,low_gamma
17,AF8_low_gamma_peakfreq,0.009255,0.015363,AF8,low_gamma
18,AF7_delta_peakfreq,0.009091,0.008412,AF7,delta
19,TP10_low_gamma_macrofreq,0.00843,0.008476,TP10,low_gamma
20,TP10_high_gamma_peakfreq,0.008313,0.0078,TP10,high_gamma
21,AF7_alpha_macrofreq,0.008285,0.005828,AF7,alpha
22,AF8_theta_peakfreq,0.007877,0.00651,AF8,theta
23,TP9_low_gamma_macrofreq,0.007828,0.008834,TP9,low_gamma
24,TP9_delta_peakfreq,0.007782,0.007045,TP9,delta
25,AF8_delta_mean,0.007554,0.012787,AF8,delta
26,AF8_delta_std,0.007088,0.013615,AF8,delta
27,AF8_high_gamma_peakfreq,0.006901,0.008108,AF8,high_gamma
28,TP10_alpha_peakfreq,0.006876,0.006147,TP10,alpha
29,AF8_high_gamma_macrofreq,0.006834,0.005028,AF8,high_gamma
30,TP10_theta_peakfreq,0.006774,0.005806,TP10,theta
31,AF8_theta_hjorth_act,0.006691,0.012565,AF8,theta
32,AF8_delta_hjorth_act,0.006622,0.011443,AF8,delta
33,TP9_high_gamma_peakfreq,0.006563,0.005149,TP9,high_gamma
34,TP9_theta_peakfreq,0.006369,0.004362,TP9,theta
35,AF7_very_high_macrofreq,0.006059,0.009598,AF7,very_high
36,AF8_theta_std,0.006037,0.010341,AF8,theta
37,TP10_delta_mean,0.006027,0.008324,TP10,delta
38,AF7_high_gamma_macrofreq,0.005894,0.005164,AF7,high_gamma
39,TP9_high_gamma_hjorth_comp,0.005627,0.012699,TP9,high_gamma
40,AF8_low_gamma_macrofreq,0.005578,0.007801,AF8,low_gamma
41,AF8_high_gamma_hjorth_act,0.005511,0.006598,AF8,high_gamma
42,TP10_theta_std,0.005501,0.006796,TP10,theta
43,TP9_high_gamma_hjorth_act,0.005452,0.011476,TP9,high_gamma
44,AF7_theta_peakfreq,0.005433,0.004737,AF7,theta
45,AF8_theta_mean,0.005378,0.007083,AF8,theta
46,TP10_delta_peakfreq,0.005226,0.004119,TP10,delta
47,TP10_delta_std,0.005096,0.007848,TP10,delta
48,AF8_very_high_peakfreq,0.005027,0.007911,AF8,very_high
49,TP9_high_gamma_std,0.005027,0.010922,TP9,high_gamma
50,AF7_low_gamma_macrofreq,0.004886,0.004473,AF7,low_gamma
51,AF8_alpha_mean,0.004885,0.008453,AF8,alpha
52,AF8_alpha_peakfreq,0.004705,0.004687,AF8,alpha
53,TP10_theta_hjorth_act,0.004658,0.006118,TP10,theta
54,AF8_alpha_std,0.004588,0.007647,AF8,alpha
55,AF7_alpha_peakfreq,0.004565,0.004825,AF7,alpha
56,AF8_alpha_hjorth_act,0.004543,0.006541,AF8,alpha
57,TP10_alpha_mean,0.004439,0.004195,TP10,alpha
58,TP10_high_gamma_macrofreq,0.004424,0.00495,TP10,high_gamma
59,TP9_alpha_peakfreq,0.004423,0.004087,TP9,alpha
60,AF8_delta_peakfreq,0.004384,0.003922,AF8,delta
61,TP10_theta_mean,0.004335,0.006521,TP10,theta
62,TP10_high_gamma_hjorth_comp,0.004334,0.007857,TP10,high_gamma
63,AF8_raw_slope,0.004278,0.004501,AF8,raw
64,AF7_theta_hjorth_comp,0.004119,0.003689,AF7,theta
65,TP10_delta_hjorth_act,0.004109,0.005516,TP10,delta
66,TP9_high_gamma_macrofreq,0.004083,0.003201,TP9,high_gamma
67,AF8_beta_macrofreq,0.004075,0.004016,AF8,beta
68,AF8_very_high_hjorth_comp,0.004072,0.004565,AF8,very_high
69,AF7_high_gamma_peakfreq,0.004054,0.002899,AF7,high_gamma
70,TP10_high_gamma_std,0.004041,0.003786,TP10,high_gamma
71,AF8_raw_mean,0.004014,0.004235,AF8,raw
72,TP9_low_gamma_hjorth_comp,0.003979,0.003389,TP9,low_gamma
73,AF8_high_gamma_std,0.003875,0.005197,AF8,high_gamma
74,TP10_alpha_hjorth_act,0.003818,0.002902,TP10,alpha
75,AF7_beta_macrofreq,0.003762,0.003599,AF7,beta
76,AF8_beta_std,0.003761,0.003532,AF8,beta
77,AF8_very_high_macrofreq,0.003759,0.004667,AF8,very_high
78,AF7_delta_std,0.003738,0.003692,AF7,delta
79,AF7_delta_mean,0.003704,0.002704,AF7,delta
80,AF7_delta_hjorth_act,0.003697,0.004005,AF7,delta
81,AF8_delta_rel_power,0.003628,0.005698,AF8,delta
82,AF8_very_high_mean,0.003545,0.003327,AF8,very_high
83,AF7_beta_hjorth_mob,0.003513,0.004649,AF7,beta
84,TP9_delta_hjorth_act,0.003505,0.003381,TP9,delta
85,TP9_beta_macrofreq,0.003504,0.003497,TP9,beta
86,TP10_beta_std,0.003483,0.002795,TP10,beta
87,AF7_theta_hjorth_mob,0.00346,0.002395,AF7,theta
88,TP10_low_gamma_hjorth_act,0.003451,0.002931,TP10,low_gamma
89,TP10_alpha_std,0.00333,0.002434,TP10,alpha
90,AF7_theta_std,0.003323,0.002836,AF7,theta
91,AF7_high_gamma_mean,0.003298,0.003949,AF7,high_gamma
92,AF8_low_gamma_mean,0.003284,0.003298,AF8,low_gamma
93,TP9_theta_hjorth_mob,0.003278,0.004031,TP9,theta
94,TP9_alpha_hjorth_act,0.003221,0.003121,TP9,alpha
95,AF7_theta_hjorth_act,0.003216,0.002951,AF7,theta
96,TP10_theta_hjorth_mob,0.003191,0.002634,TP10,theta
97,AF8_very_high_std,0.003151,0.003227,AF8,very_high
98,AF7_beta_mean,0.003126,0.003739,AF7,beta
99,AF7_alpha_mean,0.003123,0.002527,AF7,alpha
100,TP10_low_gamma_std,0.003119,0.002956,TP10,low_gamma
101,TP10_very_high_hjorth_comp,0.003102,0.003452,TP10,very_high
102,TP9_raw_slope,0.00308,0.00289,TP9,raw
103,AF7_alpha_hjorth_mob,0.003069,0.003005,AF7,alpha
104,TP9_delta_hjorth_comp,0.003026,0.002271,TP9,delta
105,TP9_delta_std,0.003026,0.002529,TP9,delta
106,TP10_very_high_hjorth_mob,0.002998,0.003716,TP10,very_high
107,TP9_theta_hjorth_act,0.002992,0.002724,TP9,theta
108,AF7_low_gamma_hjorth_mob,0.00299,0.003011,AF7,low_gamma
109,TP9_high_gamma_hjorth_mob,0.002987,0.005687,TP9,high_gamma
110,AF8_high_gamma_mean,0.002981,0.004022,AF8,high_gamma
111,AF8_beta_hjorth_act,0.002973,0.002417,AF8,beta
112,AF7_alpha_std,0.002936,0.003176,AF7,alpha
113,AF8_very_high_hjorth_mob,0.002929,0.002816,AF8,very_high
114,TP10_very_high_hjorth_act,0.002928,0.00426,TP10,very_high
115,AF8_high_gamma_hjorth_comp,0.002927,0.002955,AF8,high_gamma
116,TP10_low_gamma_hjorth_comp,0.002914,0.002895,TP10,low_gamma
117,TP10_theta_hjorth_comp,0.002905,0.002874,TP10,theta
118,TP10_beta_macrofreq,0.002864,0.001908,TP10,beta
119,AF8_low_gamma_hjorth_mob,0.002836,0.002262,AF8,low_gamma
120,TP10_high_gamma_hjorth_act,0.002824,0.002645,TP10,high_gamma
121,TP10_beta_mean,0.00281,0.002461,TP10,beta
122,AF7_theta_mean,0.002808,0.002671,AF7,theta
123,TP9_theta_mean,0.002795,0.002102,TP9,theta
124,AF7_raw_std,0.002794,0.002892,AF7,raw
125,TP10_low_gamma_mean,0.002792,0.002715,TP10,low_gamma
126,AF8_theta_hjorth_mob,0.002779,0.002018,AF8,theta
127,TP9_very_high_hjorth_act,0.002759,0.002429,TP9,very_high
128,AF7_high_gamma_hjorth_mob,0.002756,0.003272,AF7,high_gamma
129,AF8_low_gamma_std,0.002751,0.002401,AF8,low_gamma
130,TP10_delta_rel_power,0.002747,0.004382,TP10,delta
131,AF8_beta_mean,0.00273,0.002354,AF8,beta
132,TP10_beta_hjorth_act,0.002724,0.002844,TP10,beta
133,AF8_low_gamma_hjorth_act,0.002719,0.002205,AF8,low_gamma
134,AF7_raw_slope,0.002715,0.002413,AF7,raw
135,TP10_very_high_std,0.002707,0.003831,TP10,very_high
136,AF7_beta_hjorth_comp,0.002688,0.002704,AF7,beta
137,TP9_alpha_mean,0.00268,0.003285,TP9,alpha
138,AF7_delta_hjorth_comp,0.002668,0.002656,AF7,delta
139,AF7_alpha_hjorth_act,0.002665,0.002956,AF7,alpha
140,TP9_low_gamma_mean,0.002661,0.002449,TP9,low_gamma
141,TP10_beta_hjorth_mob,0.002659,0.002563,TP10,beta
142,AF8_raw_std,0.002644,0.002763,AF8,raw
143,AF7_beta_hjorth_act,0.002634,0.002411,AF7,beta
144,TP9_very_high_rel_power,0.00261,0.003263,TP9,very_high
145,TP10_very_high_mean,0.002598,0.003123,TP10,very_high
146,TP10_alpha_hjorth_mob,0.00259,0.002368,TP10,alpha
147,TP10_raw_mean,0.002588,0.002389,TP10,raw
148,TP10_alpha_hjorth_comp,0.00258,0.00261,TP10,alpha
149,TP9_delta_mean,0.002579,0.002416,TP9,delta
150,TP9_very_high_hjorth_comp,0.002579,0.003657,TP9,very_high
151,AF8_beta_hjorth_comp,0.002554,0.002221,AF8,beta
