PID,n_skip,R1 Test Acc,R1 Train Acc,R1 \Delta Acc,R2 Test Acc,R2 Train Acc,R2 \Delta Acc,R3 Test Acc,R3 Train Acc,R3 \Delta Acc,R4 Test Acc,R4 Train Acc,R4 \Delta Acc,R4 Test Recall,R4 95% CI,R4 Sig.↑
P04,90,0.5410702614379085,0.9973484241198104,0.4562781626819019,0.5410702614379085,0.9973484241198104,0.4562781626819019,0.5010375816993464,0.735949218103854,0.23491163640450763,0.5309967320261437,0.7310230815233296,0.2000263494971859,0.5126307189542484,"[0.437, 0.586]",—
P05,34,0.5766666666666667,0.9833333333333332,0.4066666666666665,0.5766666666666667,0.9833333333333332,0.4066666666666665,0.5633333333333332,0.85,0.28666666666666674,0.5866666666666667,0.8825,0.2958333333333333,0.5733333333333334,"[0.441, 0.684]",—
P06,111,0.5335064935064935,0.9385526675786592,0.4050461740721657,0.5335064935064935,0.9385526675786592,0.4050461740721657,0.4987012987012987,0.8144760601915186,0.31577476149021994,0.4912554112554113,0.8315047879616964,0.3402493767062851,0.5857142857142856,"[0.517, 0.648]",✓
P07,91,0.7977777777777778,0.9867701863354036,0.18899240855762578,0.7977777777777778,0.9867701863354036,0.18899240855762578,0.780718954248366,0.8835817805383023,0.10286282628993626,0.828888888888889,0.8925341614906832,0.0636452726017942,0.8109803921568627,"[0.746, 0.862]",✓
P08,144,0.525,0.9475,0.4225,0.525,0.9475,0.4225,0.5235714285714286,0.8949999999999999,0.37142857142857133,0.5371428571428571,0.7076785714285715,0.17053571428571435,0.6142857142857142,"[0.556, 0.669]",✓
P09,119,0.6208695652173913,0.9702173913043476,0.34934782608695625,0.6208695652173913,0.9702173913043476,0.34934782608695625,0.5904347826086956,0.7891304347826088,0.19869565217391316,0.6617391304347826,0.846086956521739,0.18434782608695643,0.8417391304347828,"[0.791, 0.885]",✓
P10,76,0.5714285714285714,0.8633333333333333,0.2919047619047619,0.5714285714285714,0.8633333333333333,0.2919047619047619,0.5413333333333332,0.7403266787658802,0.198993345432547,0.5442857142857143,0.7911070780399274,0.24682136375421315,0.5499047619047619,"[0.467, 0.628]",—
P11,162,0.7898790322580644,0.8190138732658416,0.02913484100777719,0.7898790322580644,0.8190138732658416,0.02913484100777719,0.7840927419354838,0.8167941507311586,0.032701408795674736,0.7985887096774194,0.8066679165104362,0.008079206833016883,0.9645564516129032,"[0.939, 0.981]",✓
P12,55,0.911818181818182,0.9324878048780488,0.02066962305986686,0.911818181818182,0.9324878048780488,0.02066962305986686,0.8694545454545455,0.8977682926829269,0.028313747228381425,0.8743636363636365,0.9021463414634148,0.027782705099778315,0.8334545454545454,"[0.749, 0.893]",✓
P13,97,0.6518713450292397,0.8787855855855856,0.2269142405563459,0.6518713450292397,0.8787855855855856,0.2269142405563459,0.6153801169590644,0.7808864864864865,0.16550636952742215,0.6936842105263158,0.7528936936936936,0.05920948316737784,0.8635087719298244,"[0.809, 0.907]",✓
P14,128,0.5158666666666667,0.9776424242424244,0.46177575757575773,0.5158666666666667,0.9776424242424244,0.46177575757575773,0.507,0.8397454545454546,0.33274545454545457,0.5336000000000001,0.8504363636363637,0.3168363636363636,0.5455333333333334,"[0.482, 0.605]",—
P15,121,0.7018840579710146,0.99230382063601,0.29041976266499536,0.7018840579710146,0.99230382063601,0.29041976266499536,0.6641304347826087,0.8377785403797757,0.17364810559716704,0.6976811594202899,0.8284397163120566,0.13075855689176674,0.7970289855072463,"[0.743, 0.846]",✓
P17,276,0.6560942760942761,0.7428182471568089,0.08672397106253282,0.6560942760942761,0.7428182471568089,0.08672397106253282,0.6623299663299662,0.7381321608252653,0.07580219449529912,0.67986531986532,0.7162503699319325,0.03638505006661252,0.9135622895622896,"[0.887, 0.934]",✓
