PID,n_test,n_train,LOGO Accuracy,LOGO Recall (STAY),TN,FP,FN,TP
P04,170,6270,0.5706,0.9412,17,68,5,80
P05,60,6380,0.6,0.8333,11,19,5,25
P06,214,6226,0.5981,0.9626,25,82,4,103
P07,174,6266,0.592,0.954,20,67,4,83
P08,280,6160,0.5964,0.9,41,99,14,126
P09,230,6210,0.6696,0.8696,54,61,15,100
P10,144,6296,0.5833,0.9583,15,57,3,69
P11,316,6124,0.7943,0.9557,100,58,7,151
P12,102,6338,0.6373,0.8431,22,29,8,43
P13,186,6254,0.7097,0.9355,45,48,6,87
P14,248,6192,0.5847,0.9355,29,95,8,116
P15,234,6206,0.6966,0.9402,53,64,7,110
P17,544,5896,0.682,0.9449,114,158,15,257
P18,394,6046,0.6218,0.7868,90,107,42,155
P20,338,6102,0.6568,0.9467,62,107,9,160
P21,198,6242,0.5152,0.9798,5,94,2,97
P22,140,6300,0.6786,0.7857,40,30,15,55
P23,402,6038,0.694,0.6965,139,62,61,140
P24,434,6006,0.7834,0.894,146,71,23,194
P25,302,6138,0.7318,0.947,78,73,8,143
P26,154,6286,0.7857,0.974,46,31,2,75
P27,256,6184,0.6914,0.9766,52,76,3,125
P28,410,6030,0.5951,0.961,47,158,8,197
P30,224,6216,0.7679,0.9018,71,41,11,101
P31,286,6154,0.6399,0.9441,48,95,8,135
Mean ± SD,,,0.667 ± 0.075,0.911 ± 0.071,,,,
