rank,key,cites,cites_in_iffalse,author,year,title
1,baughan_i_2022,18,6,Baughan,2022,“I Don’t Even Remember What I Read”
2,moontaha_online_2023,15,1,Moontaha,2023,Online Learning for Wearable EEG-based Emotion Classification
3,knierim_flow_2026,14,4,Knierim,2026,Flow on Social Media?
4,perski_conceptualising_2017,11,0,Perski,2017,Conceptualising engagement with digital behaviour change interventions
5,debettencourt_sustained_2021,10,1,deBettencourt,2021,Sustained Attention and Spatial Attention Distinctly Influence Long-term Memory Encoding
6,yardley_understanding_2016,9,0,Yardley,2016,Understanding and Promoting Effective Engagement With Digital Behavior Change Interventions
7,bellos_methods_2025,8,4,Bellos,2025,Methods and Approaches for User Engagement and User Experience Analysis Based on Electroencephalography Recordings: A Systematic Review
8,apicella_eeg-based_2022,7,3,Apicella,2022,EEG-based measurement system for monitoring student engagement in learning 4.0
9,lew_detection_2012,7,0,Lew,2012,Detection of self-paced reaching movement intention from EEG signals
10,goncharova_emg_2003,7,0,Goncharova,2003,EMG contamination of EEG
11,trunfio_conceptualising_2021,6,0,Trunfio,2021,Conceptualising and measuring social media engagement: A systematic literature review
12,obrien_what_2008,6,0,O'Brien,2008,What is user engagement?
13,mccashin_using_2023,5,3,McCashin,2023,Using TikTok for public and youth mental health – A systematic review and content analysis
14,pope_biocybernetic_1995-3,5,1,Pope,1995,Biocybernetic system evaluates indices of operator engagement in automated task
15,rahman_detection_2025,5,0,Rahman,2025,Detection of Short-Form Video Addiction with Wearable Sensors Via Temporally-Coherent Domain Adaptation
16,evans_digital_2022,4,0,Evans,2022,Digital Media for Behavior Change
17,de_carvalho_selection_2026,4,0,de Carvalho,2026,Selection and Validation of Spectral EEG Markers for Real-Time Monitoring of Attention and Cognitive Engagement in Learning Contexts
18,mccartney_optimal_2026,4,0,McCartney,2026,Optimal Time Window and Frequency Bandwidth Parameter Combination for Subject-Specific Motor Imagery EEG Classification
19,hasson_intersubject_2004,4,3,Hasson,2004,Intersubject Synchronization of Cortical Activity During Natural Vision
20,whitham_scalp_2007,4,0,Whitham,2007,Scalp electrical recording during paralysis
21,zenone_tiktok_2021,3,0,Zenone,2021,TikTok and public health: a proposed research agenda
