rank,word,total,text_count,tex_count,kind
1,the,2118,2031,87,BOTH
2,and,1078,974,104,BOTH
3,a,921,901,20,BOTH
4,of,731,703,28,BOTH
5,to,625,610,15,BOTH
6,is,623,590,33,BOTH
7,in,519,495,24,BOTH
8,that,443,425,18,BOTH
9,this,369,346,23,BOTH
10,as,342,336,6,BOTH
11,for,314,296,18,BOTH
12,it,272,256,16,BOTH
13,engagement,264,264,0,TEXT
14,not,244,224,20,BOTH
15,with,239,228,11,BOTH
16,ref,211,0,211,TEX
17,cite,207,2,205,BOTH
18,than,203,200,3,BOTH
19,from,197,192,5,BOTH
20,sec,181,0,181,TEX
21,are,172,167,5,BOTH
22,Section,166,125,41,BOTH
23,texttt,165,0,165,TEX
24,on,159,144,15,BOTH
25,an,153,150,3,BOTH
26,be,148,139,9,BOTH
27,rather,147,143,4,BOTH
28,or,145,141,4,BOTH
29,by,137,130,7,BOTH
30,at,129,126,3,BOTH
31,EEG,122,111,11,BOTH
32,was,122,118,4,BOTH
33,SKIP,121,112,9,BOTH
34,label,117,35,82,BOTH
35,Index,115,115,0,TEXT
36,signal,106,105,1,BOTH
37,frequency,103,103,0,TEXT
38,were,103,101,2,BOTH
39,which,102,95,7,BOTH
40,window,100,100,0,TEXT
41,but,99,91,8,BOTH
42,figure,97,40,57,BOTH
43,more,97,88,9,BOTH
44,features,96,95,1,BOTH
45,class,94,92,2,BOTH
46,two,91,86,5,BOTH
47,STAY,89,79,10,BOTH
48,same,85,65,20,BOTH
49,feature,84,80,4,BOTH
50,present,84,83,1,BOTH
51,thesis,83,72,11,BOTH
52,across,81,81,0,TEXT
53,all,81,58,23,BOTH
54,what,77,77,0,TEXT
55,textbf,76,0,76,TEX
56,one,75,74,1,BOTH
57,data,74,59,15,BOTH
58,these,73,73,0,TEXT
59,fig,72,0,72,TEX
60,analysis,69,68,1,BOTH
61,used,69,64,5,BOTH
62,second,68,67,1,BOTH
63,behavioral,67,66,1,BOTH
64,literature,67,54,13,BOTH
65,only,67,62,5,BOTH
66,work,67,66,1,BOTH
67,each,66,63,3,BOTH
68,between,65,64,1,BOTH
69,d,65,6,59,BOTH
70,end,65,9,56,BOTH
71,has,64,63,1,BOTH
72,no,64,61,3,BOTH
73,participants,64,62,2,BOTH
74,baseline,62,61,1,BOTH
75,Hz,62,60,2,BOTH
76,temporal,62,58,4,BOTH
77,raw,61,59,2,BOTH
78,definition,60,58,2,BOTH
79,results,60,48,12,BOTH
80,standard,60,59,1,BOTH
81,swipe,60,59,1,BOTH
82,time,60,60,0,TEXT
83,begin,59,2,57,BOTH
84,s,59,47,12,BOTH
85,size,59,22,37,BOTH
86,can,58,55,3,BOTH
87,here,55,53,2,BOTH
88,its,55,52,3,BOTH
89,may,55,53,2,BOTH
90,performance,55,52,3,BOTH
91,because,54,54,0,TEXT
92,mean,54,50,4,BOTH
93,their,54,53,1,BOTH
94,text,53,0,53,TEX
95,participant,52,43,9,BOTH
96,attention,51,50,1,BOTH
97,band,51,48,3,BOTH
98,single,50,49,1,BOTH
99,they,50,47,3,BOTH
100,while,50,49,1,BOTH
101,both,49,47,2,BOTH
102,consistent,49,29,20,BOTH
103,directly,49,49,0,TEXT
104,research,49,49,0,TEXT
105,therefore,49,49,0,TEXT
106,video,49,48,1,BOTH
107,activity,48,47,1,BOTH
108,separability,48,48,0,TEXT
109,three,48,47,1,BOTH
110,viewing,47,46,1,BOTH
111,where,47,46,1,BOTH
112,individual,46,44,2,BOTH
113,reported,46,46,0,TEXT
114,within,46,46,0,TEXT
115,gap,45,44,1,BOTH
116,into,45,44,1,BOTH
117,does,44,44,0,TEXT
118,over,44,44,0,TEXT
119,al,43,43,0,TEXT
120,broadband,43,42,1,BOTH
121,content,43,42,1,BOTH
122,et,43,43,0,TEXT
123,event,43,40,3,BOTH
124,such,43,42,1,BOTH
125,any,42,41,1,BOTH
126,classification,42,42,0,TEXT
127,should,42,42,0,TEXT
128,established,41,41,0,TEXT
129,health,41,40,1,BOTH
130,parameter,41,40,1,BOTH
131,peak,41,36,5,BOTH
132,so,41,33,8,BOTH
133,study,41,41,0,TEXT
134,how,40,34,6,BOTH
135,length,40,40,0,TEXT
136,naturalistic,40,39,1,BOTH
137,runs,40,3,37,BOTH
138,evidence,39,39,0,TEXT
139,when,39,38,1,BOTH
140,would,39,38,1,BOTH
141,gamma,38,12,26,BOTH
142,TP10,38,36,2,BOTH
143,windows,38,37,1,BOTH
144,construct,37,37,0,TEXT
145,delta,37,33,4,BOTH
146,parameters,37,37,0,TEXT
147,task,37,37,0,TEXT
148,whether,37,37,0,TEXT
149,AF7,36,32,4,BOTH
150,against,36,36,0,TEXT
151,data_analysis_and_results,36,0,36,TEX
152,do,36,35,1,BOTH
153,emph,36,0,36,TEX
154,item,36,1,35,BOTH
155,model,36,35,1,BOTH
156,recording,36,30,6,BOTH
157,run_20260611_220844,36,0,36,TEX
158,subsection,36,0,36,TEX
159,use,36,36,0,TEXT
160,viz,36,0,36,TEX
161,without,36,33,3,BOTH
162,during,35,35,0,TEXT
163,n,35,5,30,BOTH
164,also,34,33,1,BOTH
165,been,34,34,0,TEXT
166,before,34,34,0,TEXT
167,centering,34,0,34,TEX
168,decision,34,34,0,TEXT
169,most,34,34,0,TEXT
170,period,34,34,0,TEXT
171,state,34,33,1,BOTH
172,textwidth,34,0,34,TEX
173,under,34,34,0,TEXT
174,cognitive,33,32,1,BOTH
175,duration,33,32,1,BOTH
176,if,33,32,1,BOTH
177,labeling,33,33,0,TEXT
178,pipeline,33,32,1,BOTH
179,shown,33,33,0,TEXT
180,width,33,0,33,TEX
181,alpha,32,14,18,BOTH
182,burst,32,32,0,TEXT
183,H,32,32,0,TEXT
184,measurement,32,32,0,TEXT
185,power,32,32,0,TEXT
186,sample,32,31,1,BOTH
187,short-form,32,32,0,TEXT
188,sustained,32,31,1,BOTH
189,bands,31,31,0,TEXT
190,cannot,31,31,0,TEXT
191,caption,31,0,31,TEX
192,different,31,28,3,BOTH
193,first,31,30,1,BOTH
194,further,31,28,3,BOTH
195,future,31,30,1,BOTH
196,high,31,27,4,BOTH
197,above,30,27,3,BOTH
198,axis,30,1,29,BOTH
199,behavior,30,30,0,TEXT
200,continuous,30,30,0,TEXT
201,includegraphics,30,0,30,TEX
202,level,30,30,0,TEXT
203,per,30,26,4,BOTH
204,specific,30,30,0,TEXT
205,them,30,27,3,BOTH
206,chapter,29,19,10,BOTH
207,Cohen’s,29,29,0,TEXT
208,self-paced,29,29,0,TEXT
209,together,29,29,0,TEXT
210,about,28,26,2,BOTH
211,conventional,28,28,0,TEXT
212,defined,28,28,0,TEXT
213,descriptor,28,3,25,BOTH
214,disengagement,28,26,2,BOTH
215,electrode,28,27,1,BOTH
216,measured,28,28,0,TEXT
217,onset,28,28,0,TEXT
218,png,28,0,28,TEX
219,Recall,28,25,3,BOTH
220,relative,28,28,0,TEXT
221,sensitivity,28,28,0,TEXT
222,structure,28,28,0,TEXT
223,TikTok,28,28,0,TEXT
224,y,28,0,28,TEX
225,ADD,27,0,27,TEX
226,AF8,27,24,3,BOTH
227,events,27,27,0,TEXT
228,I,27,27,0,TEXT
229,independent,27,27,0,TEXT
230,itself,27,27,0,TEXT
231,statistical,27,24,3,BOTH
232,using,27,26,1,BOTH
233,value,27,22,5,BOTH
234,via,27,27,0,TEXT
235,beyond,26,25,1,BOTH
236,classes,26,24,2,BOTH
237,could,26,25,1,BOTH
238,metric,26,25,1,BOTH
239,models,26,23,3,BOTH
240,neural,26,26,0,TEXT
241,paradigm,26,26,0,TEXT
242,physiological,26,26,0,TEXT
243,recorded,26,25,1,BOTH
244,beta,25,11,14,BOTH
245,deviation,25,25,0,TEXT
246,effect,25,25,0,TEXT
247,findings,25,25,0,TEXT
248,found,25,25,0,TEXT
249,measure,25,25,0,TEXT
250,measures,25,25,0,TEXT
251,setting,25,25,0,TEXT
252,suggests,25,25,0,TEXT
253,top,25,21,4,BOTH
254,artifact,24,19,5,BOTH
255,headband,24,23,1,BOTH
256,labels,24,5,19,BOTH
257,message,24,24,0,TEXT
258,states,24,24,0,TEXT
259,theta,24,8,16,BOTH
260,choice,23,23,0,TEXT
261,electrodes,23,23,0,TEXT
262,high-gamma,23,22,1,BOTH
263,imminent-skip,23,23,0,TEXT
264,separation,23,23,0,TEXT
265,strongest,23,23,0,TEXT
266,through,23,23,0,TEXT
267,amplitude,22,22,0,TEXT
268,digital,22,21,1,BOTH
269,e,22,21,1,BOTH
270,evaluation,22,18,4,BOTH
271,fixed,22,22,0,TEXT
272,metrics,22,21,1,BOTH
273,pattern,22,21,1,BOTH
274,point,22,20,2,BOTH
275,precedent,22,22,0,TEXT
276,prior,22,22,0,TEXT
277,proxy,22,22,0,TEXT
278,seconds,22,22,0,TEXT
279,specifically,22,22,0,TEXT
280,t,22,0,22,TEX
281,test,22,19,3,BOTH
282,yet,22,22,0,TEXT
283,attentional,21,21,0,TEXT
284,contamination,21,21,0,TEXT
285,contribution,21,20,1,BOTH
286,current,21,2,19,BOTH
287,default,21,20,1,BOTH
288,design,21,21,0,TEXT
289,even,21,21,0,TEXT
290,makes,21,19,2,BOTH
291,moment,21,18,3,BOTH
292,number,21,12,9,BOTH
293,paragraph,21,1,20,BOTH
294,public,21,21,0,TEXT
295,question,21,21,0,TEXT
296,threshold,21,21,0,TEXT
297,equation,20,2,18,BOTH
298,every,20,17,3,BOTH
299,experimental,20,20,0,TEXT
300,g,20,17,3,BOTH
301,information,20,20,0,TEXT
302,instead,20,16,4,BOTH
303,legend,20,0,20,TEX
304,need,20,8,12,BOTH
305,own,20,19,1,BOTH
306,p,20,2,18,BOTH
307,Precision,20,17,3,BOTH
308,predictive,20,19,1,BOTH
309,result,20,19,1,BOTH
310,set,20,19,1,BOTH
311,then,20,19,1,BOTH
312,accuracy,19,17,2,BOTH
313,behavioural,19,19,0,TEXT
314,boundary,19,19,0,TEXT
315,comparison,19,15,4,BOTH
316,discriminative,19,19,0,TEXT
317,EI,19,10,9,BOTH
318,EMG,19,17,2,BOTH
319,explicitly,19,19,0,TEXT
320,feed,19,19,0,TEXT
321,informative,19,19,0,TEXT
322,make,19,5,14,BOTH
323,markers,19,19,0,TEXT
324,physical,19,19,0,TEXT
325,range,19,19,0,TEXT
326,scrolling,19,18,1,BOTH
327,swipes,19,19,0,TEXT
328,absolute,18,18,0,TEXT
329,baughan_i_2022,18,0,18,TEX
330,browsing,18,18,0,TEXT
331,consumption,18,18,0,TEXT
332,group,18,18,0,TEXT
333,have,18,18,0,TEXT
334,input,18,5,13,BOTH
335,interval,18,18,0,TEXT
336,methodological,18,17,1,BOTH
337,preceding,18,18,0,TEXT
338,process,18,18,0,TEXT
339,reference,18,17,1,BOTH
340,separate,18,18,0,TEXT
341,tab,18,0,18,TEX
342,those,18,17,1,BOTH
343,time-domain,18,18,0,TEXT
344,treated,18,18,0,TEXT
345,validation,18,18,0,TEXT
346,vspace,18,0,18,TEX
347,chap,17,0,17,TEX
348,computed,17,17,0,TEXT
349,described,17,17,0,TEXT
350,effects,17,17,0,TEXT
351,excluded,17,17,0,TEXT
352,four,17,17,0,TEXT
353,however,17,17,0,TEXT
354,isolated,17,17,0,TEXT
355,ratio,17,17,0,TEXT
356,relevant,17,16,1,BOTH
357,script,17,17,0,TEXT
358,shows,17,15,2,BOTH
359,significantly,17,15,2,BOTH
360,Table,17,13,4,BOTH
361,though,17,17,0,TEXT
362,validated,17,17,0,TEXT
363,applied,16,16,0,TEXT
364,brain,16,16,0,TEXT
365,chance,16,15,1,BOTH
366,comparable,16,16,0,TEXT
367,consumer-grade,16,15,1,BOTH
368,frac,16,0,16,TEX
369,frontal,16,16,0,TEXT
370,hardware,16,16,0,TEXT
371,intervals,16,16,0,TEXT
372,line,16,13,3,BOTH
373,Logistic,16,16,0,TEXT
374,Methods,16,11,5,BOTH
375,minipage,16,0,16,TEX
376,movement,16,16,0,TEXT
377,particular,16,16,0,TEXT
378,platform,16,16,0,TEXT
379,primary,16,16,0,TEXT
380,questions,16,16,0,TEXT
381,Regression,16,16,0,TEXT
382,show,16,14,2,BOTH
383,small,16,16,0,TEXT
384,spectral,16,16,0,TEXT
385,statistics,16,16,0,TEXT
386,still,16,15,1,BOTH
387,strong,16,15,1,BOTH
388,Taken,16,16,0,TEXT
389,user,16,16,0,TEXT
390,well,16,16,0,TEXT
391,alone,15,15,0,TEXT
392,candidate,15,15,0,TEXT
393,capture,15,15,0,TEXT
394,dissociative,15,15,0,TEXT
395,distribution,15,15,0,TEXT
396,double,15,0,15,TEX
397,exactly,15,14,1,BOTH
398,fully,15,15,0,TEXT
399,inter-subject,15,15,0,TEXT
400,low,15,15,0,TEXT
401,media,15,15,0,TEXT
402,moontaha_online_2023,15,0,15,TEX
403,motor,15,14,1,BOTH
404,Muse,15,14,1,BOTH
405,observed,15,15,0,TEXT
406,passive,15,15,0,TEXT
407,precisely,15,15,0,TEXT
408,rate,15,15,0,TEXT
409,scope,15,14,1,BOTH
410,sessions,15,14,1,BOTH
411,stated,15,15,0,TEXT
412,times,15,7,8,BOTH
413,units,15,15,0,TEXT
414,url,15,0,15,TEX
415,B,14,4,10,BOTH
416,below,14,13,1,BOTH
417,better,14,14,0,TEXT
418,communication,14,14,0,TEXT
419,component,14,14,0,TEXT
420,dataset,14,13,1,BOTH
421,definitions,14,14,0,TEXT
422,derived,14,14,0,TEXT
423,detection,14,14,0,TEXT
424,full,14,11,3,BOTH
425,including,14,14,0,TEXT
426,instrument,14,14,0,TEXT
427,interaction,14,14,0,TEXT
428,intervention,14,13,1,BOTH
429,knierim_flow_2026,14,0,14,TEX
430,marker,14,14,0,TEXT
431,means,14,14,0,TEXT
432,method_parameter_sensitivity,14,0,14,TEX
433,moments,14,14,0,TEXT
434,processing,14,13,1,BOTH
435,quantity,14,14,0,TEXT
436,read,14,12,2,BOTH
437,resulting,14,14,0,TEXT
438,results_feature_importance,14,0,14,TEX
439,scheme,14,14,0,TEXT
440,session,14,12,2,BOTH
441,since,14,14,0,TEXT
442,terms,14,14,0,TEXT
443,training,14,14,0,TEXT
444,underlying,14,14,0,TEXT
445,you,14,14,0,TEXT
446,after,13,12,1,BOTH
447,artifacts,13,13,0,TEXT
448,being,13,13,0,TEXT
449,Bluetooth,13,12,1,BOTH
450,conditions,13,13,0,TEXT
451,criterion,13,13,0,TEXT
452,did,13,13,0,TEXT
453,difference,13,13,0,TEXT
454,differences,13,12,1,BOTH
455,EEG-based,13,13,0,TEXT
456,em,13,0,13,TEX
457,gaps,13,13,0,TEXT
458,github,13,1,12,BOTH
459,independently,13,13,0,TEXT
460,indicate,13,13,0,TEXT
461,INSERT,13,0,13,TEX
462,keypress,13,12,1,BOTH
463,labeled,13,13,0,TEXT
464,limited,13,13,0,TEXT
465,Mobility,13,10,3,BOTH
466,must,13,12,1,BOTH
467,Neuroscience,13,7,6,BOTH
468,outside,13,11,2,BOTH
469,platforms,13,13,0,TEXT
470,points,13,13,0,TEXT
471,predicted,13,13,0,TEXT
472,rapid,13,13,0,TEXT
473,require,13,12,1,BOTH
474,some,13,13,0,TEXT
475,standardized,13,13,0,TEXT
476,studies,13,13,0,TEXT
477,synchronization,13,12,1,BOTH
478,tex,13,0,13,TEX
479,timing,13,12,1,BOTH
480,toward,13,13,0,TEXT
481,true,13,9,4,BOTH
482,Users,13,7,6,BOTH
483,values,13,13,0,TEXT
484,variability,13,13,0,TEXT
485,variance,13,13,0,TEXT
486,X,13,0,13,TEX
487,action,12,10,2,BOTH
488,already,12,10,2,BOTH
489,approach,12,12,0,TEXT
490,boundaries,12,12,0,TEXT
491,coffeeandcoffee,12,0,12,TEX
492,com,12,0,12,TEX
493,composite,12,12,0,TEXT
494,cross-validation,12,12,0,TEXT
495,developed,12,12,0,TEXT
496,direction,12,10,2,BOTH
497,distinct,12,12,0,TEXT
498,eeg_tiktok_pipeline,12,0,12,TEX
499,enough,12,12,0,TEXT
500,extracted,12,12,0,TEXT
501,extraction,12,12,0,TEXT
502,field,12,12,0,TEXT
503,fold,12,9,3,BOTH
504,following,12,11,1,BOTH
505,https,12,0,12,TEX
506,identified,12,12,0,TEXT
507,indicator,12,12,0,TEXT
508,left,12,12,0,TEXT
509,merely,12,12,0,TEXT
510,modest,12,12,0,TEXT
511,non-skip,12,12,0,TEXT
512,once,12,12,0,TEXT
513,optimal,12,12,0,TEXT
514,other,12,12,0,TEXT
515,out,12,12,0,TEXT
516,reach,12,12,0,TEXT
517,reduced,12,12,0,TEXT
518,reflect,12,12,0,TEXT
519,required,12,12,0,TEXT
520,results_interpretation,12,0,12,TEX
521,Sections,12,11,1,BOTH
522,selection,12,11,1,BOTH
523,signals,12,12,0,TEXT
524,stream,12,12,0,TEXT
525,strictly,12,11,1,BOTH
526,support,12,11,1,BOTH
527,testing,12,12,0,TEXT
528,textit,12,0,12,TEX
529,third,12,12,0,TEXT
530,total,12,12,0,TEXT
531,uninterrupted,12,12,0,TEXT
532,versus,12,12,0,TEXT
533,whereas,12,12,0,TEXT
534,whose,12,12,0,TEXT
535,account,11,11,0,TEXT
536,application,11,11,0,TEXT
537,associated,11,11,0,TEXT
538,average,11,11,0,TEXT
539,behaviour,11,11,0,TEXT
540,captures,11,11,0,TEXT
541,claim,11,10,1,BOTH
542,class-separation,11,11,0,TEXT
543,clinical,11,11,0,TEXT
544,control,11,11,0,TEXT
545,cross-participant,11,11,0,TEXT
546,distributions,11,11,0,TEXT
547,effortful,11,11,0,TEXT
548,equally,11,11,0,TEXT
549,especially,11,11,0,TEXT
550,evaluated,11,11,0,TEXT
551,executed,11,11,0,TEXT
552,exit,11,11,0,TEXT
553,field's,11,11,0,TEXT
554,final,11,11,0,TEXT
555,five,11,11,0,TEXT
556,follows,11,11,0,TEXT
557,general,11,11,0,TEXT
558,Hjorth,11,11,0,TEXT
559,indicates,11,11,0,TEXT
560,instances,11,11,0,TEXT
561,interpretation,11,11,0,TEXT
562,later,11,11,0,TEXT
563,long,11,10,1,BOTH
564,me,11,11,0,TEXT
565,motivates,11,11,0,TEXT
566,muscle,11,11,0,TEXT
567,Neither,11,11,0,TEXT
568,open,11,11,0,TEXT
569,output,11,11,0,TEXT
570,overall,11,9,2,BOTH
571,paradigms,11,11,0,TEXT
572,part,11,10,1,BOTH
573,perski_conceptualising_2017,11,0,11,TEX
574,py,11,0,11,TEX
575,regions,11,11,0,TEXT
576,remains,11,11,0,TEXT
577,responses,11,11,0,TEXT
578,scalar,11,11,0,TEXT
579,see,11,4,7,BOTH
580,signature,11,11,0,TEXT
581,significance,11,10,1,BOTH
582,something,11,11,0,TEXT
583,space,11,9,2,BOTH
584,strongly,11,11,0,TEXT
585,substantially,11,11,0,TEXT
586,subsubsection,11,0,11,TEX
587,system,11,11,0,TEXT
588,target,11,11,0,TEXT
589,tested,11,11,0,TEXT
590,up,11,11,0,TEXT
591,varied,11,11,0,TEXT
592,voluntary,11,11,0,TEXT
593,way,11,11,0,TEXT
594,why,11,9,2,BOTH
595,addressed,10,9,1,BOTH
596,aggregate,10,10,0,TEXT
597,ambiguity,10,10,0,TEXT
598,answer,10,10,0,TEXT
599,away,10,10,0,TEXT
600,bar,10,0,10,TEX
601,bars,10,5,5,BOTH
602,blocks,10,9,1,BOTH
603,broader,10,10,0,TEXT
604,carry,10,10,0,TEXT
605,case,10,9,1,BOTH
606,change,10,10,0,TEXT
607,complexity,10,9,1,BOTH
608,conclusion,10,7,3,BOTH
609,cortical,10,10,0,TEXT
610,count,10,10,0,TEXT
611,counts,10,10,0,TEXT
612,currently,10,10,0,TEXT
613,debettencourt_sustained_2021,10,0,10,TEX
614,descriptors,10,10,0,TEXT
615,device,10,10,0,TEXT
616,effective,10,10,0,TEXT
617,engaged,10,10,0,TEXT
618,existing,10,10,0,TEXT
619,follow,10,10,0,TEXT
620,framework,10,10,0,TEXT
621,had,10,9,1,BOTH
622,interpreted,10,10,0,TEXT
623,larger,10,10,0,TEXT
624,less,10,9,1,BOTH
625,Macro,10,8,2,BOTH
626,minutes,10,10,0,TEXT
627,ms,10,9,1,BOTH
628,much,10,10,0,TEXT
629,next,10,10,0,TEXT
630,noise,10,10,0,TEXT
631,none,10,8,2,BOTH
632,overlap,10,9,1,BOTH
633,positive,10,10,0,TEXT
634,practical,10,10,0,TEXT
635,preprocessing,10,10,0,TEXT
636,property,10,10,0,TEXT
637,protocol,10,10,0,TEXT
638,Quality,10,4,6,BOTH
639,real,10,9,1,BOTH
640,repeated,10,10,0,TEXT
641,results_burst_analysis,10,0,10,TEX
642,results_model_performance,10,0,10,TEX
643,risk,10,10,0,TEXT
644,sampling,10,10,0,TEXT
645,settings,10,10,0,TEXT
646,sigma,10,0,10,TEX
647,significant,10,10,0,TEXT
648,social,10,10,0,TEXT
649,statistically,10,9,1,BOTH
650,stronger,10,10,0,TEXT
651,systems,10,10,0,TEXT
652,TP,10,4,6,BOTH
653,TP9,10,10,0,TEXT
654,treating,10,10,0,TEXT
655,viewer,10,10,0,TEXT
656,viz04,10,0,10,TEX
657,vs,10,2,8,BOTH
658,watch,10,10,0,TEXT
659,watching,10,10,0,TEXT
660,yields,10,10,0,TEXT
661,adjacent,9,9,0,TEXT
662,alongside,9,9,0,TEXT
663,analyses,9,9,0,TEXT
664,approximately,9,9,0,TEXT
665,automated,9,9,0,TEXT
666,best,9,9,0,TEXT
667,binary,9,9,0,TEXT
668,BP,9,9,0,TEXT
669,bursts,9,5,4,BOTH
670,Cohen's,9,9,0,TEXT
671,combination,9,9,0,TEXT
672,comparing,9,9,0,TEXT
673,comparisons,9,9,0,TEXT
674,components,9,9,0,TEXT
675,consistently,9,9,0,TEXT
676,context,9,9,0,TEXT
677,controlled,9,9,0,TEXT
678,data_analysis,9,0,9,TEX
679,deviations,9,9,0,TEXT
680,distinction,9,9,0,TEXT
681,distributed,9,9,0,TEXT
682,downstream,9,9,0,TEXT
683,dropouts,9,5,4,BOTH
684,ensure,9,9,0,TEXT
685,epochs,9,9,0,TEXT
686,exceeds,9,8,1,BOTH
687,fact,9,9,0,TEXT
688,Finally,9,9,0,TEXT
689,finding,9,9,0,TEXT
690,flow,9,9,0,TEXT
691,folds,9,7,2,BOTH
692,greater,9,9,0,TEXT
693,grounded,9,9,0,TEXT
694,higher,9,9,0,TEXT
695,important,9,9,0,TEXT
696,improve,9,9,0,TEXT
697,improvement,9,9,0,TEXT
698,increases,9,9,0,TEXT
699,interest,9,9,0,TEXT
700,key,9,9,0,TEXT
701,kind,9,9,0,TEXT
702,limits,9,9,0,TEXT
703,local,9,9,0,TEXT
704,LSL,9,9,0,TEXT
705,many,9,6,3,BOTH
706,meaningful,9,9,0,TEXT
