segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
0,baseline_1,1764170495.035513,1764170585.592653,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865476,0.7071067811865476,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
1,tiktok_over_4s_watched,1764170594.6384015,1764170596.6382046,-39127848412.23331,9731058603.509197,-24688186397.970104,-3660517590.9226794,-144712130.216771,-801918036560.066,27498411083.50125,-14444905151.365965,-7454561904.979266,-6012554907.612389,-172305492657.0903,-22533701274.861217,-79338162867.16542,-108465781902.09798,-12288897389.734173,-56512526183.09313,-7114625826.784057,7059466586.4854145,3965046439.058167,26859311226.96655
2,tiktok_over_4s_watched,1764170606.9189892,1764170608.9151435,-24847988084.455147,-13222084635.400785,-81148561352.26956,12465270780.084204,9506582061.83171,-715376960666.3251,-374735310152.9006,27630263110.82779,859040664.9654118,12051077228.24022,-186736935580.57095,20397690068.397873,52475956743.976555,-24895617625.047287,-8000296451.561672,-43478549655.34127,-5199375163.519174,-14855462598.269068,3403962416.3043075,-3517533007.726195
3,tiktok_over_4s_watched,1764170632.5618346,1764170634.558306,66860856635.47504,77971823788.79121,-42100037291.673225,-3501228121.3051066,-7001769582.214224,303963820478.2957,84918640324.39592,5731320299.130947,4940454394.413005,-10498546693.498955,146714180271.5771,-149662106.44753066,-12908527511.537857,-89901807531.88878,-9861518042.245935,33503954081.039238,2381641538.484782,-7704120619.753913,-3250486224.2872624,-55976871742.168015
4,tiktok_over_4s_watched,1764170643.1099863,1764170645.1063366,1947459996.4810936,43440685282.08332,-69090480086.91525,76171044078.41301,368364434.15337056,-388782365918.0992,85376936187.93565,-14530084392.899515,6936886312.51074,-7698555821.962341,44646841008.407555,21018142910.298702,-14951323402.709742,-34454006379.920586,-16814735237.939005,-57228155120.90877,4177277468.9441442,-4352656149.268824,-5577574784.329987,30853628600.268177
5,tiktok_over_4s_watched,1764170656.3769655,1764170658.3732054,-53623254543.83961,4731145913.991396,-425490983915.9361,37380467617.644875,8962283818.763025,-393996408172.0143,-41113202822.169,-10331039494.061531,-7204077061.5054865,-6651053867.747046,-81331103335.52023,-7957566825.186524,-57044191977.37727,-61547771333.544334,-11598535843.793367,-52780559696.52978,3060825673.6438913,584095266.8437973,-4386608017.632356,50428729578.58415
6,tiktok_over_4s_watched,1764170668.940142,1764170670.9362445,-19245099721.104973,-59213531793.34924,98373684164.69418,34190496021.176994,-8882252719.322876,-242951276207.91583,40970884295.25414,-1504355485.9094994,-2604572559.70422,-17672186697.185238,-107987142306.94781,-1731342101.8811293,58662277965.36421,-24800380376.552036,-9307285041.944342,-44080751983.171104,-16816763715.84242,-4678396456.263418,431188960.4543079,76018414928.73761
7,tiktok_over_4s_watched,1764170691.1596084,1764170693.159581,-33730004729.10462,-37314620803.52222,-36665740896.08795,-19740728783.259457,1708027428.8435562,-268549707026.54324,-108265146008.28226,-6412230217.6019335,2370013371.2841625,-525843492.55139166,-245227220911.6172,-1043566656.5094516,-71258365069.6365,-43607165206.25556,-17703920828.286926,-26611420814.877323,-7035811323.593911,-10158872127.861341,-17175902445.512943,-36354224848.33437
8,tiktok_over_4s_watched,1764170712.909421,1764170714.909367,-25979720323.09704,10039288718.564428,-134088408705.13974,-78544442674.55058,1916794978.7813425,-375182406520.3013,-8765359733.516281,2317836543.221736,3745878504.622347,-7696835818.136019,-172383883858.23596,-6547159884.584603,11706240460.858583,34880962776.14152,-9796302076.392515,-6181389789.667267,1682155095.8327072,5693480188.162332,-3684711885.7956924,-40506164712.56029
9,tiktok_over_4s_watched,1764170733.2056386,1764170735.2017422,-19743520373.74295,-20878001923.353653,-7242931858.895,-44123668816.51853,9465721062.741152,-394256581840.3425,-57558348684.277695,2996845275.9831653,-10047579956.919348,-4677298292.4603,-40555678650.5065,12151317403.547735,-96364619135.71622,-39057908777.14043,-14083176497.064728,-50057717468.86781,-4783949150.939663,-4348401517.366305,-11076252986.045261,-30687200055.00135
10,tiktok_over_4s_watched,1764170742.2991874,1764170744.299093,-48909000023.39481,8315820433.930906,-11964323308.349073,50203661138.30556,1221945223.9837024,-351496705129.8574,-76884387438.32458,27212120370.28908,-1061183533.8312446,-22006723049.988808,-214223152786.57184,-5525457342.553173,28541318530.72403,-64326191359.93653,-2740789208.903378,-38536085399.70398,-6582612525.46049,-5063145168.235813,-3421814866.328194,25701628375.79439
11,tiktok_over_4s_watched,1764170749.7519526,1764170751.7518103,-25708765057.685196,-3891566330.1100535,-112772692299.5142,-16070680819.772675,245045408.52332485,-1067431029930.6417,10396908492.871004,-6783736342.85494,-2547772476.568362,-24451051557.39373,-90592965114.67667,-2537521304.731163,-67930298312.441475,-74331034004.26143,-1506464235.551948,-51050165698.74745,-11553963390.539686,-16123942105.45312,-7280082460.679442,-95043005092.28055
12,tiktok_over_4s_watched,1764170770.5652409,1764170772.561386,-77243620949.43614,4306123473.779659,-98861669851.39284,-313119329.36137766,-3296394320.1617746,-138914090807.19043,7173593530.967222,-12787129646.252201,-1801694866.0711558,32594993608.595654,23815172458.392506,-8504989481.386642,-7499556905.332532,2022983163.9757395,-5297044164.980175,-33116117502.81768,-14596894129.611336,2011792512.4393606,853129152.0410168,68964962763.6462
13,tiktok_over_4s_watched,1764170797.9877975,1764170799.9839373,-27068032149.15636,-38758220306.465866,-298553540952.4277,51446079628.258255,5543377757.639715,-310219745511.94495,-197904903069.06067,-16809585190.432602,-25976778423.372696,-221982748.11494136,-304679099333.51117,-23267501412.145897,-169043434809.8833,-187361074.6222027,-1205563209.4241033,-76463317648.22345,-2581936871.2863874,-6551711393.146867,-3328559778.444221,-975937163.4443953
14,tiktok_over_4s_watched,1764170809.5191543,1764170811.5152822,7127978999.566508,21778729894.16085,265290239831.636,6325357119.671317,-539553626.2095531,204415291916.58215,29640194304.133816,-10208571315.362572,-7343572978.682262,842008360.3985491,110913901636.29306,-1955711182.2256966,-106877039157.2348,-28784686474.985348,8008438420.8923645,-47714928757.23532,-14430717251.25465,-15453431175.587847,-7650780091.975159,-80231170248.26097
15,tiktok_over_4s_watched,1764170827.565778,1764170829.5657403,-54268176559.16722,-51979694620.46877,-74257979058.04187,43182604557.606094,-40468182.44166035,-262477973602.97186,-169746269222.9905,-36689532746.43612,-8861465266.11379,-11040075656.980776,-307724406243.11334,-25073340260.027107,-52913502259.6462,16015288972.95774,-10754519482.936102,-13242160223.875526,-30615144471.720524,-17397008611.952164,-399627751.60814977,-2615861107.525446
16,tiktok_over_4s_watched,1764170835.6280804,1764170837.628046,-56894754641.2924,-31267980638.03929,203611478800.25528,-27215212479.40667,6956719958.376652,-709448721264.9781,-101001711333.45235,-1194696373.6396105,4565807634.590745,8993007125.705647,-175603647845.37106,-14972210095.18232,-127472022096.71182,-68687788815.8158,-8611408728.235338,-70812222349.50261,-2409501772.6674924,-16267741360.816807,133049009.56039882,-41642834376.045044
