channel,band,feature,n_over,n_under,median_over,median_under,mean_over,mean_under,std_over,std_under,u_statistic,p_value,p_corrected,significant,effect_size_r,cohens_d,normal_over,normal_under,equal_variance
TP9,delta,TP9_delta,22,35,-30147020851.572273,-26073416503.027393,-28029050531.30642,-25986623708.89809,31926017930.646324,37109172723.27077,370.0,0.8121264836453055,16.24252967290611,False,0.038961038961038974,0.05799007055200239,False,False,True
TP9,theta,TP9_theta,22,35,-2502996609.5557985,3186732735.1401725,-11257102365.704659,-1139738837.8213155,39970310880.85718,45393126095.08354,322.0,0.3055999300491521,6.111998600983042,False,0.1636363636363637,0.23310484342156337,True,False,True
TP9,alpha,TP9_alpha,22,35,-55595258689.294235,59976277779.83388,-35557806969.924416,30954916915.399403,214639463745.76474,203291965256.21246,291.0,0.1253622149348946,2.5072442986978922,False,0.24415584415584413,0.32023794019628676,False,True,True
TP9,beta,TP9_beta,22,35,25376663641.746696,35608705072.60468,19607604208.493515,37104128170.8433,42678462126.05248,65073717541.72391,325.0,0.3294003284167314,6.588006568334627,False,0.1558441558441559,0.30396764978557206,True,False,True
TP9,gamma,TP9_gamma,22,35,1464986326.4136293,3979650599.602661,2604574637.390729,4370229893.491389,5345402864.66163,7109301374.729024,329.0,0.3629519571449302,7.2590391428986045,False,0.1454545454545455,0.2719481931261969,True,True,True
AF7,delta,AF7_delta,22,35,-381982386219.2002,-403438293679.37964,-367798987906.3485,-475463463954.8188,316355990536.5329,371736150237.6617,429.0,0.4758142728260917,9.516285456521834,False,0.11428571428571432,0.3061938961400956,True,True,True
AF7,theta,AF7_theta,22,35,-34270005713.177204,-62906879774.732216,-56456826224.78126,-65241692285.99739,106169049475.18292,82048011226.06909,430.0,0.465730811445521,9.31461622891042,False,0.11688311688311681,0.0954801888324099,False,True,True
AF7,alpha,AF7_alpha,22,35,-8496153829.108756,-3348606658.293011,-6655887924.764319,-5009750168.3522,18675361401.675827,20853014161.31528,351.0,0.5829154576868025,11.65830915373605,False,0.08831168831168834,0.08210376362113345,True,True,True
AF7,beta,AF7_beta,22,35,-1431439199.9512002,-716861337.9889147,-1738099881.7749784,-1436243346.1767693,7708699049.235435,9618048782.323196,370.0,0.8121264836453055,16.24252967290611,False,0.038961038961038974,0.033774932999280714,False,True,True
AF7,gamma,AF7_gamma,22,35,-5344926600.036345,-3741907194.31663,-2278773954.2091317,-2368913298.5701704,13969967700.110466,12518946930.323639,373.0,0.8504786767907709,17.00957353581542,False,0.03116883116883118,0.006885088307178001,True,True,True
AF8,delta,AF8_delta,22,35,-147409719888.68585,-116476482866.39526,-122012511514.85713,-116369438193.22942,127770914645.74007,148706381690.65582,359.0,0.67595052151734,13.5190104303468,False,0.06753246753246755,0.039999113450299106,True,True,True
AF8,theta,AF8_theta,22,35,-5417188935.88979,-10142456493.928362,-3211377948.529979,-13773065479.819769,13333490204.90975,21752813085.56784,481.0,0.11748128863016727,2.3496257726033454,False,0.24935064935064943,0.5563449282471942,True,True,False
AF8,alpha,AF8_alpha,22,35,-54978847118.511734,-24615182026.664986,-36477686697.989876,-20387278973.581528,67029465871.32658,55522999154.38593,326.0,0.33759376116096296,6.751875223219259,False,0.1532467532467533,0.2673864702676291,True,True,True
AF8,beta,AF8_beta,22,35,-31619346427.452965,-27159898491.89227,-32532232938.136204,-27384679615.076435,38383247788.559814,45024521335.47156,367.0,0.7742198640107305,15.48439728021461,False,0.04675324675324677,0.1208031188993965,True,True,True
AF8,gamma,AF8_gamma,22,35,-6700378687.02434,-6407236681.020286,-6511865728.867389,-5859026584.350308,6450606743.011224,9118996859.425398,367.0,0.7742198640107305,15.48439728021461,False,0.04675324675324677,0.07958307035009157,True,True,True
TP10,delta,TP10_delta,22,35,-46396608791.77507,-47294813206.20726,-41745166507.27787,-57282914155.6934,25310764902.370667,47366921025.09319,436.0,0.4077867764234554,8.155735528469108,False,0.1324675324675324,0.384666735225362,False,True,False
TP10,theta,TP10_theta,22,35,-4991662157.229418,-4965977379.03014,-5849092037.686133,-6402746601.335633,8688476687.645302,9925272984.375517,406.0,0.7368441170581435,14.736882341162868,False,0.05454545454545445,0.05845096886564473,False,False,True
TP10,alpha,TP10_alpha,22,35,-4870770812.249616,-7437317733.030779,-5557287526.66195,-5980541489.772029,7814901024.839614,7427445515.940519,418.0,0.5942141517579684,11.884283035159369,False,0.08571428571428563,0.05585504372840784,True,False,True
TP10,beta,TP10_beta,22,35,-3375187322.3862076,-3284139413.125363,-2438321861.6463084,-3355483144.8475733,6615263380.829567,7540619431.1286,401.0,0.7994371524451225,15.98874304890245,False,0.04155844155844157,0.12735966267831655,True,True,True
TP10,gamma,TP10_gamma,22,35,-1795899135.4849205,8448318488.754881,-1359004219.206217,811084147.8428802,52652379851.276306,84270851986.84529,409.0,0.7000808013488893,14.001616026977786,False,0.06233766233766236,0.029399243927229046,True,True,True
