segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
0,baseline_1,1765395222.4844873,1765395442.7079258,0.7071067811865476,-0.7071067811865476,0.7071067811865476,0.7071067811865475,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,0.7071067811865476,0.7071067811865476,-0.7071067811865476,0.7071067811865476,-0.7071067811865475,-0.7071067811865475,0.7071067811865476,-0.7071067811865475,-0.7071067811865476,0.7071067811865476
1,tiktok_under_4s_watched,1765395479.079666,1765395479.5796435,-75075008526053.47,-24540427875564.555,-57169367061.14318,-106059285585.04385,-84687806319.90292,-27822749414.24308,-74348213349.98964,-53955555930.44463,6680488736.961486,-13509633988.256836,-6647482600597.742,-1100288289346.1262,38853853463.843315,-32788147524.726414,-53820334045.01244,7722115810.388534,-799435570874.4852,-611575792084.3123,25992347035.86162,-1378173270642.3435
2,tiktok_under_4s_watched,1765395493.328277,1765395493.8282273,-43331956600850.195,-32988143885395.613,-145083993325.44904,-231966550863.89297,-126305561170.9661,-11880361980.224672,-51369156917.490906,-116933658255.00693,2254462516.838217,-7468969619.272641,-7173723919057.749,-2670862489713.543,-444029258213.26996,-51247820299.7431,-72707831856.72598,18913729794.273926,-637566203390.9587,-563760631511.8698,28405970700.580173,-1962738737506.6426
3,tiktok_under_4s_watched,1765395494.6406438,1765395495.140592,23734991886480.742,-2665298466130.46,-52027060350.93698,-162401139334.0541,-168478476412.78748,-1050151204.7061045,-96437053385.19508,-164785022132.74457,2636895090.205288,-13155814050.449512,1324893052540.2146,-781813497083.8082,-118298616387.02965,-23277542158.248966,-104402452663.30743,27975845882.88742,-435784283289.4825,-502739607608.9548,4853151493.827145,-2082454577012.2048
4,tiktok_under_4s_watched,1765395496.0936267,1765395496.5935707,-65886268663261.836,-27199450229841.18,-48030665378.21662,-185390625682.49014,-218286481970.853,-29542556907.337734,-37031597983.91623,-31297844059.376797,7405688148.040827,-13678436863.465445,-1643244491122.9604,-678023333008.3398,-154414596658.113,-15035864173.336134,-122690644363.19774,12707642990.55295,-325879329236.9175,-904870478307.7565,-47540023448.73647,-2753328284107.075
5,tiktok_under_4s_watched,1765395510.2486954,1765395510.7486415,-61035584539639.836,-26647056854660.633,-116128905310.58775,-251511977719.09363,-176671596462.08392,-69140790753.05908,-108738306138.39322,-225928923272.50922,-18961920182.845654,-20848884403.490124,-5820485280020.172,-2870288083528.6704,-380514563699.4947,-30794011258.816326,-113636407491.11392,28077494575.23694,-186535389545.3568,-634164506295.513,3882505862.6493206,-1914068300760.6477
6,tiktok_under_4s_watched,1765395512.732851,1765395513.23282,-34646264372458.21,-23049791860605.523,-81141487290.13338,-167892369008.66623,-155258879501.57462,-44645546477.7201,-72589718220.42288,-115113576423.66997,12259912042.48318,11362145990.020603,-1865942286790.069,-1265418593931.945,-238228499221.19492,-46303854905.13909,-113518123905.25284,10244174438.656052,-485185552948.3098,-681537713737.4207,20531526540.28034,-1790551820483.0535
7,tiktok_under_4s_watched,1765395515.1701543,1765395515.6701145,-60795269816005.48,-24683915821567.156,-44308998722.31984,-127440664256.82098,-105684191356.77301,-17387715676.571194,-73688378002.043,-53264650203.14617,12672351973.292692,-17511562111.284035,-5843621342887.775,-1840207044225.2217,-232644927305.22424,-39700746603.15052,-96125797416.27911,29599992855.87195,-262092662453.24976,-560576421912.6226,1058881928.41293,-1990977458672.4382
8,tiktok_under_4s_watched,1765395516.5294237,1765395517.0293648,-10271430643427.81,-35339585388582.586,-116625101381.79985,-137829683793.86908,-129518277835.68053,-14948677998.450567,-60805343179.8309,-20285893855.78629,-2384889934.414321,-26472882544.22879,-4060985790908.263,-3748901998600.357,-407161077730.2713,-71410094419.89798,-221685280838.7882,1037045521.505819,-732881628663.7566,-638281416483.8639,34100009964.344925,-1829474979540.7222
9,tiktok_under_4s_watched,1765395518.544866,1765395519.0448303,-15723159380085.27,-34278006009280.25,-80082930442.55928,-176847090786.2036,-193475622120.4318,-22122448200.08815,-60321360150.929115,-68546315828.18141,-18317693118.21464,-31551911572.258114,-3463544966774.4673,-2546327923401.1567,-324460227166.6979,-38423906181.66348,-205533963041.1318,6176566559.379408,-665700180049.4081,-635099516559.8151,31935331882.23923,-1935994945162.6123
